data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",12.759998,1052.0,8.379999,10.919998
"2024-04-02 14:00:28",12.799999,1048.0,8.4,11.039999
"2024-04-02 15:00:28",12.9,1047.0,8.429999,11.23
"2024-04-02 16:00:28",12.939999,1046.0,8.469999,11.299999
"2024-04-02 17:00:28",12.91,1044.0,8.469999,11.309999
"2024-04-02 18:00:28",12.91,1040.0,8.49,11.289999
"2024-04-02 19:00:28",12.849998,1033.0,8.429999,11.169998
"2024-04-02 20:00:28",12.75,1022.0,8.389999,11.019999
"2024-04-02 21:00:28",12.669998,1018.0,8.379999,10.919998
"2024-04-02 22:00:28",12.609999,1043.0,8.37,10.799999
"2024-04-02 23:00:28",12.599998,1115.0,8.379999,10.689999
"2024-04-03 00:00:28",12.57,1170.0,8.37,10.599998
"2024-04-03 01:00:28",12.529999,1191.0,8.349999,10.509998
"2024-04-03 02:00:28",12.48,1190.0,8.309999,10.41
"2024-04-03 03:00:28",12.419998,1172.0,8.28,10.309999
"2024-04-03 04:00:28",12.389999,1139.0,8.25,10.209999
"2024-04-03 05:00:28",12.32,1101.0,8.219999,10.139999
"2024-04-03 06:00:28",12.24,1056.0,8.209999,10.11
"2024-04-03 07:00:28",12.189999,1058.0,8.209999,10.169999
"2024-04-03 08:00:28",12.169998,1137.0,8.209999,10.259998
"2024-04-03 09:00:28",12.219999,1212.0,8.219999,10.359999
"2024-04-03 10:00:28",12.279999,1241.0,8.23,10.449999
"2024-04-03 11:00:28",12.359999,1252.0,8.24,10.539999
"2024-04-03 12:00:28",12.429998,1254.0,8.25,10.619999
"2024-04-03 13:00:28",12.589998,1245.0,8.2699995,10.75
"2024-04-03 14:00:28",12.549999,1234.0,8.28,10.769999
"2024-04-03 15:00:28",12.609999,1228.0,8.299999,10.839998
"2024-04-03 16:00:28",12.599998,1228.0,8.29,10.83
"2024-04-03 17:00:28",12.639999,1239.0,8.29,10.859999
"2024-04-03 18:00:28",12.679998,1261.0,8.28,10.82
"2024-04-03 19:00:28",12.679998,1283.0,8.259999,10.759998
"2024-04-03 20:00:28",12.669998,1287.0,8.24,10.689999
"2024-04-03 21:00:28",12.66,1281.0,8.23,10.639999
"2024-04-03 22:00:28",12.639999,1278.0,8.209999,10.57
"2024-04-03 23:00:28",12.619999,1279.0,8.19,10.49
"2024-04-04 00:00:28",12.589998,1281.0,8.169999,10.459999
"2024-04-04 01:00:28",12.559999,1281.0,8.139999,10.4
"2024-04-04 02:00:28",12.529999,1282.0,8.129999,10.32
"2024-04-04 03:00:28",12.5,1278.0,8.11,10.279999
"2024-04-04 04:00:28",12.48,1270.0,8.099999,10.25
"2024-04-04 05:00:28",12.449999,1262.0,8.089999,10.219999
"2024-04-04 06:00:28",12.41,1250.0,8.08,10.19
"2024-04-04 07:00:28",12.369999,1250.0,8.07,10.179999
"2024-04-04 08:00:28",12.369999,1262.0,8.08,10.23
"2024-04-04 09:00:28",12.419998,1276.0,8.089999,10.299999
"2024-04-04 10:00:28",12.49,1288.0,8.089999,10.369999
"2024-04-04 11:00:28",12.609999,1296.0,8.099999,10.439999
"2024-04-04 12:00:28",12.75,1304.0,8.11,10.509998
"2024-04-04 13:00:28",12.809999,1310.0,8.12,10.529999
"2024-04-04 14:00:28",13.039999,1310.0,8.129999,10.639999
"2024-04-04 15:00:28",13.179998,1311.0,8.15,10.679998
"2024-04-04 16:00:28",13.199999,1306.0,8.16,10.689999
"2024-04-04 17:00:28",13.25,1299.0,8.16,10.679998
"2024-04-04 18:00:28",13.299999,1294.0,8.16,10.65
"2024-04-04 19:00:28",13.32,1290.0,8.15,10.599998
"2024-04-04 20:00:28",13.33,1285.0,8.15,10.539999
"2024-04-04 21:00:28",13.309999,1284.0,8.139999,10.5
"2024-04-04 22:00:28",13.279999,1283.0,8.129999,10.429998
"2024-04-04 23:00:28",13.25,1283.0,8.12,10.359999
"2024-04-05 00:00:28",13.209999,1281.0,8.11,10.289999
"2024-04-05 01:00:28",13.15,1277.0,8.099999,10.23
"2024-04-05 02:00:28",13.08,1266.0,8.089999,10.179999
"2024-04-05 03:00:28",13.019999,1251.0,8.08,10.129999
"2024-04-05 04:00:28",12.949999,1239.0,8.07,10.07
"2024-04-05 05:00:28",12.869999,1224.0,8.07,10.059999
"2024-04-05 06:00:28",12.789999,1209.0,8.049999,10.009999
"2024-04-05 07:00:28",12.709999,1191.0,8.04,10.0
"2024-04-05 08:00:28",12.689999,1172.0,8.04,10.04
"2024-04-05 09:00:28",12.679998,1152.0,8.04,10.089999
"2024-04-05 10:00:28",12.83,1134.0,8.04,10.209999
"2024-04-05 11:00:28",12.959999,1114.0,8.049999,10.289999
"2024-04-05 12:00:28",13.16,1086.0,8.059999,10.349998
"2024-04-05 13:00:28",13.339998,1057.0,8.049999,10.49
"2024-04-05 14:00:28",13.32,1030.0,8.049999,10.5
"2024-04-05 15:00:28",13.5,1013.0,8.059999,10.629999
"2024-04-05 16:00:28",13.689999,998.19995,8.08,10.699999
"2024-04-05 17:00:28",13.74,983.0,8.11,10.73
"2024-04-05 18:00:28",13.75,963.3999,8.089999,10.699999
"2024-04-05 19:00:28",13.73,938.8999,8.07,10.589998
"2024-04-05 20:00:28",13.689999,913.19995,8.049999,10.49
"2024-04-05 21:00:28",13.619999,884.2999,8.03,10.419998
"2024-04-05 22:00:28",13.549999,853.6,8.0199995,10.359999
"2024-04-05 23:00:28",13.49,834.8999,8.009999,10.299999
"2024-04-06 00:00:28",13.449999,829.2999,8.0,10.23
"2024-04-06 01:00:28",13.419998,829.8999,8.0,10.15
"2024-04-06 02:00:28",13.389999,827.7999,7.99,10.049999
"2024-04-06 03:00:28",13.349998,821.0,7.9699993,9.98
"2024-04-06 04:00:28",13.279999,816.39996,7.9699993,9.929999
"2024-04-06 05:00:28",13.219999,810.3,7.95,9.879999
"2024-04-06 06:00:28",13.169998,806.1,7.9399996,9.82
"2024-04-06 07:00:28",13.099998,804.3,7.9299994,9.759999
"2024-04-06 08:00:28",13.07,805.5,7.9299994,9.83
"2024-04-06 09:00:28",13.109999,806.69995,7.9299994,9.849999
"2024-04-06 10:00:28",13.209999,804.69995,7.9399996,9.889999
"2024-04-06 11:00:28",13.33,800.0,7.95,9.98
"2024-04-06 12:00:28",13.529999,792.89996,7.95,10.04
"2024-04-06 13:00:28",13.469999,790.8,7.9399996,10.03
"2024-04-06 14:00:28",13.699999,790.0,7.959999,10.169999
"2024-04-06 15:00:28",13.879999,788.5,7.9699993,10.23
"2024-04-06 16:00:28",14.07,789.19995,7.9799995,10.299999
"2024-04-06 17:00:28",14.169998,790.39996,8.0,10.32
"2024-04-06 18:00:28",14.169998,790.69995,8.0,10.33
"2024-04-06 19:00:28",14.119999,789.19995,7.99,10.279999
"2024-04-06 20:00:28",14.059999,787.1,7.99,10.25
"2024-04-06 21:00:28",14.0,786.3,7.9799995,10.2
"2024-04-06 22:00:28",13.929998,786.3,7.9799995,10.169999
"2024-04-06 23:00:28",13.879999,786.8,7.9699993,10.089999
"2024-04-07 00:00:28",13.839998,788.3,7.959999,10.049999
"2024-04-07 01:00:28",13.799999,789.39996,7.959999,10.0199995
"2024-04-07 02:00:28",13.759998,791.1,7.959999,9.95
"2024-04-07 03:00:28",13.709999,794.5,7.95,9.889999
"2024-04-07 04:00:28",13.66,799.89996,7.9399996,9.83
"2024-04-07 05:00:28",13.599998,805.1,7.9399996,9.799999
"2024-04-07 06:00:28",13.529999,811.3,7.9299994,9.759999
"2024-04-07 07:00:28",13.459999,816.39996,7.919999,9.74
"2024-04-07 08:00:28",13.419998,821.1,7.919999,9.759999
"2024-04-07 09:00:28",13.48,825.0,7.9299994,9.83
"2024-04-07 10:00:28",13.609999,830.19995,7.9399996,9.9
"2024-04-07 11:00:28",13.83,838.0,7.959999,9.99
"2024-04-07 12:00:28",14.049999,835.5,7.9699993,10.08
"2024-04-07 13:00:28",14.32,837.3999,7.9799995,10.16
"2024-04-07 14:00:28",14.559999,836.6,8.0,10.25
"2024-04-07 15:00:28",14.82,836.6,8.0199995,10.33
"2024-04-07 16:00:28",15.019999,836.69995,8.04,10.359999
"2024-04-07 17:00:28",15.07,835.0,8.04,10.359999
"2024-04-07 18:00:28",15.07,833.2999,8.049999,10.339998
"2024-04-07 19:00:28",15.019999,830.8999,8.04,10.25
"2024-04-07 20:00:28",14.939999,825.69995,8.03,10.209999
"2024-04-07 21:00:28",14.879999,820.0,8.0199995,10.169999
"2024-04-07 22:00:28",14.82,818.8,8.0199995,10.139999
"2024-04-07 23:00:28",14.779999,820.5,8.009999,10.099999
"2024-04-08 00:00:28",14.75,825.0,8.009999,10.03
"2024-04-08 01:00:28",14.74,831.2999,8.0,9.94
"2024-04-08 02:00:28",14.719999,836.3999,8.0,9.87
"2024-04-08 03:00:28",14.699999,838.7999,7.99,9.7699995
"2024-04-08 04:00:28",14.669998,841.19995,7.9799995,9.719999
"2024-04-08 05:00:28",14.629999,844.6,7.9699993,9.66
"2024-04-08 06:00:28",14.58,848.6,7.959999,9.57
"2024-04-08 07:00:28",14.529999,853.0,7.9399996,9.53
"2024-04-08 08:00:28",14.5,859.3999,7.95,9.58
"2024-04-08 09:00:28",14.509998,864.7999,7.95,9.629999
"2024-04-08 10:00:28",14.66,871.5,7.9799995,9.759999
"2024-04-08 11:00:28",14.869999,879.1,7.99,9.9
"2024-04-08 12:00:28",15.109999,879.2999,8.009999,10.0199995
"2024-04-08 13:00:28",15.33,882.7999,8.03,10.16
"2024-04-08 14:00:28",15.529999,884.7999,8.049999,10.25
"2024-04-08 15:00:28",15.669998,887.2999,8.059999,10.379999
"2024-04-08 16:00:28",15.82,888.7999,8.07,10.48
"2024-04-08 17:00:28",15.919998,890.0,8.089999,10.529999
"2024-04-08 18:00:28",15.9,887.69995,8.099999,10.509998
"2024-04-08 19:00:28",15.839998,884.69995,8.099999,10.429998
"2024-04-08 20:00:28",15.769999,883.0,8.089999,10.33
"2024-04-08 21:00:28",15.719999,882.3999,8.08,10.259998
"2024-04-08 22:00:28",15.679998,881.8999,8.08,10.169999
"2024-04-08 23:00:28",15.65,881.0,8.059999,10.04
"2024-04-09 00:00:28",15.609999,878.8999,8.049999,9.929999
"2024-04-09 01:00:28",15.58,874.2999,8.03,9.83
"2024-04-09 02:00:28",15.539999,869.5,8.03,9.73
"2024-04-09 03:00:28",15.519999,868.8999,8.0199995,9.62
"2024-04-09 04:00:28",15.48,872.5,8.009999,9.5
"2024-04-09 05:00:28",15.419998,875.6,8.0,9.44
"2024-04-09 06:00:28",15.349998,880.3999,7.99,9.349999
"2024-04-09 07:00:28",15.269999,887.2999,7.9799995,9.299999
"2024-04-09 08:00:28",15.23,896.1,7.9799995,9.36
"2024-04-09 09:00:28",15.289999,904.1,8.009999,9.5
"2024-04-09 10:00:28",15.469999,912.5,8.04,9.709999
"2024-04-09 11:00:28",15.65,919.0,8.059999,9.889999
"2024-04-09 12:00:28",15.91,927.3999,8.11,10.089999
"2024-04-09 13:00:28",16.21,931.5,8.15,10.289999
"2024-04-09 14:00:28",16.49,935.6,8.19,10.469999
"2024-04-09 15:00:28",16.71,938.7999,8.23,10.599998
"2024-04-09 16:00:28",16.849998,938.5,8.25,10.669998
"2024-04-09 17:00:28",16.859999,939.0,8.259999,10.759998
"2024-04-09 18:00:28",16.81,937.2999,8.2699995,10.74
"2024-04-09 19:00:28",16.72,939.0,8.25,10.66
"2024-04-09 20:00:28",16.609999,945.3999,8.23,10.509998
"2024-04-09 21:00:28",16.529999,951.3999,8.209999,10.4
"2024-04-09 22:00:28",16.439999,955.6,8.179999,10.25
"2024-04-09 23:00:28",16.359999,958.19995,8.16,10.099999
"2024-04-10 00:00:28",16.3,965.69995,8.129999,9.95
"2024-04-10 01:00:28",16.23,971.2999,8.11,9.82
"2024-04-10 02:00:28",16.199999,960.3999,8.099999,9.69
"2024-04-10 03:00:28",16.119999,946.8999,8.089999,9.549999
"2024-04-10 04:00:28",16.039999,946.8999,8.07,9.429999
"2024-04-10 05:00:28",15.949999,949.69995,8.059999,9.339999
"2024-04-10 06:00:28",15.83,952.7999,8.059999,9.259999
"2024-04-10 07:00:28",15.719999,958.7999,8.059999,9.179999
"2024-04-10 08:00:28",15.609999,966.6,8.04,9.179999
"2024-04-10 09:00:28",15.519999,976.5,8.049999,9.19
"2024-04-10 10:00:28",15.389999,986.19995,8.04,9.219999
"2024-04-10 11:00:28",15.309999,994.2999,8.049999,9.33
"2024-04-10 12:00:28",15.269999,999.1,8.059999,9.5
"2024-04-10 13:00:28",15.169998,1001.0,8.059999,9.549999
"2024-04-10 14:00:28",15.119999,1004.0,8.099999,9.759999
"2024-04-10 15:00:28",15.129999,1004.0,8.11,9.889999
"2024-04-10 16:00:28",15.08,1001.0,8.11,9.969999
"2024-04-10 17:00:28",15.049999,1003.0,8.11,10.009999
"2024-04-10 18:00:28",15.029999,1006.0,8.12,10.12
"2024-04-10 19:00:28",14.99,1000.0,8.12,10.129999
"2024-04-10 20:00:28",14.929998,1001.0,8.099999,10.059999
"2024-04-10 21:00:28",14.9,1010.0,8.08,10.0
