data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",13.049999,1411.0,8.4,10.839998
"2024-04-02 14:00:28",13.08,1414.0,8.4,10.839998
"2024-04-02 15:00:28",13.07,1415.0,8.389999,10.9
"2024-04-02 16:00:28",13.089998,1406.0,8.4,10.759998
"2024-04-02 17:00:28",13.099998,1391.0,8.339999,10.789999
"2024-04-02 18:00:28",13.07,1399.0,8.32,10.539999
"2024-04-02 19:00:28",13.029999,1414.0,8.29,10.339998
"2024-04-02 20:00:28",13.0,1424.0,8.259999,9.889999
"2024-04-02 21:00:28",12.949999,1429.0,8.23,9.83
"2024-04-02 22:00:28",12.889999,1432.0,8.309999,10.269999
"2024-04-02 23:00:28",12.82,1438.0,8.2699995,10.24
"2024-04-03 00:00:28",12.779999,1445.0,8.259999,9.82
"2024-04-03 01:00:28",12.73,1437.0,8.309999,10.5
"2024-04-03 02:00:28",12.709999,1415.0,8.299999,10.58
"2024-04-03 03:00:28",12.699999,1391.0,8.28,10.32
"2024-04-03 04:00:28",12.709999,1415.0,8.25,10.19
"2024-04-03 05:00:28",12.719999,1442.0,8.25,10.209999
"2024-04-03 06:00:28",12.679998,1447.0,8.219999,10.269999
"2024-04-03 07:00:28",12.629999,1444.0,8.15,9.799999
"2024-04-03 08:00:28",12.57,1441.0,8.179999,10.139999
"2024-04-03 09:00:28",12.549999,1443.0,8.19,10.349998
"2024-04-03 10:00:28",12.599998,1447.0,8.169999,10.32
"2024-04-03 11:00:28",12.65,1450.0,8.19,10.559999
"2024-04-03 12:00:28",12.74,1458.0,8.19,10.509998
"2024-04-03 13:00:28",12.779999,1472.0,8.2,10.679998
"2024-04-03 14:00:28",12.889999,1485.0,8.19,10.73
"2024-04-03 15:00:28",12.939999,1489.0,8.19,10.679998
"2024-04-03 16:00:28",12.98,1483.0,8.179999,10.709999
"2024-04-03 17:00:28",12.99,1474.0,8.19,10.769999
"2024-04-03 18:00:28",12.98,1476.0,8.2,10.719999
"2024-04-03 19:00:28",12.98,1485.0,8.179999,10.699999
"2024-04-03 20:00:28",12.99,1498.0,8.169999,10.19
"2024-04-03 21:00:28",13.009998,1508.0,8.12,9.959999
"2024-04-03 22:00:28",13.049999,1521.0,8.139999,10.23
"2024-04-03 23:00:28",13.07,1535.0,8.15,10.389999
"2024-04-04 00:00:28",13.08,1547.0,8.099999,9.719999
"2024-04-04 01:00:28",13.08,1558.0,8.129999,10.11
"2024-04-04 02:00:28",13.07,1567.0,8.11,9.91
"2024-04-04 03:00:28",13.08,1575.0,8.129999,10.07
"2024-04-04 04:00:28",13.08,1572.0,8.12,9.86
"2024-04-04 05:00:28",13.059999,1566.0,8.08,9.69
"2024-04-04 06:00:28",13.039999,1559.0,8.07,9.7
"2024-04-04 07:00:28",13.009998,1555.0,7.9799995,9.32
"2024-04-04 08:00:28",12.98,1554.0,8.08,9.79
"2024-04-04 09:00:28",12.99,1553.0,8.059999,9.559999
"2024-04-04 10:00:28",13.019999,1548.0,8.04,9.79
"2024-04-04 11:00:28",13.059999,1533.0,8.07,9.99
"2024-04-04 12:00:28",13.119999,1516.0,8.089999,10.009999
"2024-04-04 13:00:28",13.169998,1499.0,8.08,10.0
"2024-04-04 14:00:28",13.199999,1472.0,8.08,9.929999
"2024-04-04 15:00:28",13.299999,1443.0,8.089999,9.94
"2024-04-04 16:00:28",13.389999,1422.0,8.099999,10.5
"2024-04-04 17:00:28",13.419998,1394.0,8.08,10.459999
"2024-04-04 18:00:28",13.419998,1372.0,8.059999,10.379999
"2024-04-04 19:00:28",13.4,1341.0,8.059999,10.19
"2024-04-04 20:00:28",13.359999,1301.0,8.049999,10.41
"2024-04-04 21:00:28",13.33,1261.0,8.009999,10.299999
"2024-04-04 22:00:28",13.309999,1232.0,8.0,10.179999
"2024-04-04 23:00:28",13.289999,1187.0,7.9699993,10.259998
"2024-04-05 00:00:28",13.259998,1156.0,7.9299994,10.0199995
"2024-04-05 01:00:28",13.23,1128.0,7.9399996,9.919999
"2024-04-05 02:00:28",13.15,1088.0,7.95,9.969999
"2024-04-05 03:00:28",13.059999,1061.0,7.9399996,9.919999
"2024-04-05 04:00:28",12.99,1038.0,7.919999,9.7699995
"2024-04-05 05:00:28",12.889999,1009.0,7.91,9.69
"2024-04-05 06:00:28",12.789999,987.2999,7.8999996,9.57
"2024-04-05 07:00:28",12.689999,973.1,7.879999,9.419999
"2024-04-05 08:00:28",12.609999,962.69995,7.8599997,9.429999
"2024-04-05 09:00:28",12.549999,953.2999,7.879999,9.49
"2024-04-05 10:00:28",12.549999,951.69995,7.839999,9.219999
"2024-04-05 11:00:28",12.609999,951.8999,7.839999,9.309999
"2024-04-05 12:00:28",12.689999,953.19995,7.8899994,9.49
"2024-04-05 13:00:28",12.74,954.19995,7.83,9.259999
"2024-04-05 14:00:28",12.91,955.1,7.95,10.04
