data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.99,920.7999,8.66,11.57
"2024-04-11 12:01:17",15.99,920.7999,8.66,11.57
"2024-04-11 13:00:28",15.98,919.5,8.669999,11.619999
"2024-04-11 13:01:12",15.98,919.5,8.669999,11.619999
"2024-04-11 14:00:28",15.959999,918.1,8.66,11.609999
"2024-04-11 14:01:58",15.959999,918.1,8.66,11.609999
"2024-04-11 15:00:28",15.959999,916.69995,8.669999,11.719999
"2024-04-11 15:01:04",15.959999,916.69995,8.669999,11.719999
"2024-04-11 16:00:28",15.939999,915.2999,8.669999,11.619999
"2024-04-11 16:01:55",15.939999,915.2999,8.669999,11.619999
"2024-04-11 17:00:28",15.9,914.3999,8.65,11.529999
"2024-04-11 17:01:16",15.9,914.3999,8.65,11.529999
"2024-04-11 18:00:28",15.889999,913.7999,8.65,11.439999
"2024-04-11 18:01:08",15.889999,913.7999,8.65,11.439999
"2024-04-11 19:00:28",15.889999,912.6,8.62,11.41
"2024-04-11 19:01:10",15.889999,912.6,8.62,11.41
"2024-04-11 20:00:28",15.859999,911.3999,8.639999,11.289999
"2024-04-11 21:00:28",15.839998,910.8999,8.61,11.169998
"2024-04-11 21:01:09",15.839998,910.8999,8.61,11.169998
"2024-04-11 22:00:28",15.849998,910.1,8.61,11.019999
"2024-04-11 22:01:13",15.849998,910.1,8.61,11.019999
"2024-04-11 23:00:28",15.859999,909.8999,8.589999,10.91
"2024-04-11 23:01:13",15.859999,909.8999,8.589999,10.91
"2024-04-12 00:00:28",15.869999,908.69995,8.599999,10.91
"2024-04-12 00:01:00",15.869999,908.69995,8.599999,10.91
"2024-04-12 01:00:28",15.849998,908.69995,8.589999,10.919998
"2024-04-12 01:01:12",15.849998,908.69995,8.589999,10.919998
"2024-04-12 02:00:28",15.82,908.69995,8.589999,10.879999
"2024-04-12 02:01:14",15.82,908.69995,8.589999,10.879999
"2024-04-12 03:00:28",15.779999,907.7999,8.57,10.769999
"2024-04-12 03:01:03",15.779999,907.7999,8.57,10.769999
"2024-04-12 04:00:28",15.75,908.8999,8.549999,10.759998
"2024-04-12 04:01:17",15.75,908.8999,8.549999,10.759998
"2024-04-12 05:00:28",15.719999,908.2999,8.57,10.66
"2024-04-12 05:01:16",15.719999,908.2999,8.57,10.66
"2024-04-12 06:00:28",15.699999,908.1,8.54,10.529999
"2024-04-12 06:01:08",15.699999,908.1,8.54,10.529999
"2024-04-12 07:00:28",15.679998,907.69995,8.54,10.449999
"2024-04-12 07:01:09",15.679998,907.69995,8.54,10.449999
"2024-04-12 08:00:28",15.639999,907.19995,8.53,10.429998
"2024-04-12 08:01:12",15.639999,907.19995,8.53,10.429998
"2024-04-12 09:00:28",15.609999,906.6,8.54,10.519999
"2024-04-12 09:01:12",15.609999,906.6,8.54,10.519999
"2024-04-12 10:00:28",15.609999,906.5,8.549999,10.639999
"2024-04-12 10:01:06",15.609999,906.5,8.549999,10.639999
"2024-04-12 11:00:28",15.639999,905.69995,8.58,10.809999
"2024-04-12 11:01:09",15.639999,905.69995,8.58,10.809999
"2024-04-12 12:00:28",15.629999,905.0,8.599999,11.0
"2024-04-12 12:01:11",15.629999,905.0,8.599999,11.0
"2024-04-12 13:00:28",15.619999,905.0,8.599999,11.039999
"2024-04-12 13:01:05",15.619999,905.0,8.599999,11.039999
"2024-04-12 14:00:28",15.619999,904.6,8.62,11.209999
"2024-04-12 14:01:10",15.619999,904.6,8.62,11.209999
"2024-04-12 15:00:28",15.66,904.2999,8.629999,11.299999
"2024-04-12 15:01:10",15.66,904.2999,8.629999,11.299999
"2024-04-12 16:00:28",15.689999,903.8999,8.65,11.339998
"2024-04-12 16:01:10",15.689999,903.8999,8.65,11.339998
"2024-04-12 17:00:28",15.709999,904.19995,8.639999,11.32
"2024-04-12 17:01:10",15.709999,904.19995,8.639999,11.32
"2024-04-12 18:00:28",15.699999,904.6,8.62,11.279999
"2024-04-12 18:01:11",15.699999,904.6,8.62,11.279999
"2024-04-12 19:00:28",15.66,904.6,8.61,11.129999
"2024-04-12 19:01:11",15.66,904.6,8.61,11.129999
"2024-04-12 20:00:28",15.629999,904.8999,8.589999,10.929998
"2024-04-12 20:01:08",15.629999,904.8999,8.589999,10.929998
"2024-04-12 21:00:28",15.609999,905.19995,8.57,10.839998
"2024-04-12 21:01:14",15.609999,905.19995,8.57,10.839998
"2024-04-12 22:00:28",15.58,905.5,8.559999,10.679998
"2024-04-12 22:01:07",15.58,905.5,8.559999,10.679998
"2024-04-12 23:00:28",15.57,905.3999,8.559999,10.689999
