data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",12.929998,1280.0,8.53,10.539999
"2024-04-02 14:00:28",12.949999,1270.0,8.549999,10.759998
"2024-04-02 15:00:28",12.949999,1250.0,8.549999,10.82
"2024-04-02 16:00:28",12.98,1295.0,8.54,10.949999
"2024-04-02 17:00:28",13.019999,1323.0,8.559999,11.049999
"2024-04-02 18:00:28",13.019999,1334.0,8.58,11.169998
"2024-04-02 19:00:28",13.009998,1328.0,8.57,11.189999
"2024-04-02 20:00:28",12.98,1316.0,8.54,10.879999
"2024-04-02 21:00:28",12.939999,1314.0,8.459999,10.469999
"2024-04-02 22:00:28",12.869999,1317.0,8.5199995,10.73
"2024-04-02 23:00:28",12.799999,1297.0,8.54,10.929998
"2024-04-03 00:00:28",12.809999,1285.0,8.54,10.939999
"2024-04-03 01:00:28",12.769999,1248.0,8.54,10.859999
"2024-04-03 02:00:28",12.809999,1307.0,8.509999,10.769999
"2024-04-03 03:00:28",12.82,1329.0,8.5,10.74
"2024-04-03 04:00:28",12.759998,1318.0,8.459999,10.609999
"2024-04-03 05:00:28",12.689999,1310.0,8.429999,10.48
"2024-04-03 06:00:28",12.609999,1306.0,8.41,10.4
"2024-04-03 07:00:28",12.559999,1312.0,8.4,10.33
"2024-04-03 08:00:28",12.529999,1317.0,8.389999,10.379999
"2024-04-03 09:00:28",12.539999,1323.0,8.389999,10.419998
"2024-04-03 10:00:28",12.58,1326.0,8.389999,10.539999
"2024-04-03 11:00:28",12.629999,1344.0,8.4,10.669998
"2024-04-03 12:00:28",12.709999,1363.0,8.41,10.769999
"2024-04-03 13:00:28",12.789999,1367.0,8.41,10.849998
"2024-04-03 14:00:28",12.9,1350.0,8.419999,10.959999
"2024-04-03 15:00:28",12.929998,1340.0,8.429999,11.039999
"2024-04-03 16:00:28",12.929998,1346.0,8.429999,11.049999
"2024-04-03 17:00:28",12.969999,1357.0,8.44,11.08
"2024-04-03 18:00:28",13.0,1366.0,8.429999,11.049999
"2024-04-03 19:00:28",13.049999,1375.0,8.419999,10.99
"2024-04-03 20:00:28",13.089998,1389.0,8.419999,10.889999
"2024-04-03 21:00:28",13.109999,1401.0,8.41,10.839998
"2024-04-03 22:00:28",13.099998,1407.0,8.41,10.75
"2024-04-03 23:00:28",13.08,1414.0,8.389999,10.629999
"2024-04-04 00:00:28",13.08,1420.0,8.379999,10.509998
"2024-04-04 01:00:28",13.099998,1427.0,8.37,10.4
"2024-04-04 02:00:28",13.099998,1419.0,8.349999,10.32
"2024-04-04 03:00:28",13.089998,1414.0,8.339999,10.269999
"2024-04-04 04:00:28",13.059999,1409.0,8.33,10.179999
"2024-04-04 05:00:28",13.019999,1410.0,8.32,10.099999
"2024-04-04 06:00:28",12.969999,1410.0,8.309999,10.08
"2024-04-04 07:00:28",12.91,1403.0,8.309999,10.07
