data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",14.949999,2752.0,8.08,9.259999
"2024-04-11 12:01:24",14.949999,2752.0,8.08,9.259999
"2024-04-11 13:00:28",15.089998,2787.0,8.089999,9.379999
"2024-04-11 13:01:49",15.089998,2787.0,8.089999,9.379999
"2024-04-11 14:00:28",15.269999,2824.0,8.099999,9.469999
"2024-04-11 14:01:08",15.269999,2824.0,8.099999,9.469999
"2024-04-11 15:00:28",15.449999,2802.0,8.11,9.629999
"2024-04-11 15:01:09",15.449999,2802.0,8.11,9.629999
"2024-04-11 16:00:28",15.58,2826.0,8.129999,9.679999
"2024-04-11 16:01:08",15.58,2826.0,8.129999,9.679999
"2024-04-11 17:00:28",15.679998,2798.0,8.139999,9.7699995
"2024-04-11 17:01:11",15.679998,2798.0,8.139999,9.7699995
"2024-04-11 18:00:28",15.74,2753.0,8.15,9.809999
"2024-04-11 18:01:06",15.74,2753.0,8.15,9.809999
"2024-04-11 19:00:28",15.75,2761.0,8.139999,9.79
"2024-04-11 19:01:05",15.75,2761.0,8.139999,9.79
"2024-04-11 20:00:28",15.73,2603.0,8.129999,9.7
"2024-04-11 20:01:07",15.73,2603.0,8.129999,9.7
"2024-04-11 21:00:28",15.699999,2576.0,8.11,9.62
"2024-04-11 21:01:16",15.699999,2576.0,8.11,9.62
"2024-04-11 22:00:28",15.669998,2559.0,8.099999,9.49
"2024-04-11 22:01:04",15.669998,2559.0,8.099999,9.49
"2024-04-11 23:00:28",15.639999,2692.0,8.08,9.379999
"2024-04-11 23:01:04",15.639999,2692.0,8.08,9.379999
"2024-04-12 00:00:28",15.609999,2810.0,8.059999,9.2699995
"2024-04-12 00:01:09",15.609999,2810.0,8.059999,9.2699995
"2024-04-12 01:00:28",15.57,2883.0,8.049999,9.16
"2024-04-12 01:01:06",15.57,2883.0,8.049999,9.16
"2024-04-12 02:00:28",15.519999,2771.0,8.04,9.08
"2024-04-12 02:01:14",15.519999,2771.0,8.04,9.08
"2024-04-12 03:00:28",15.419998,2625.0,8.03,9.0
"2024-04-12 03:00:56",15.419998,2625.0,8.03,9.0
"2024-04-12 04:00:28",15.349998,2701.0,8.0199995,8.919999
"2024-04-12 04:01:11",15.349998,2701.0,8.0199995,8.919999
"2024-04-12 05:00:28",15.24,2606.0,8.0199995,8.839999
"2024-04-12 05:01:15",15.24,2606.0,8.0199995,8.839999
"2024-04-12 06:00:28",15.109999,2705.0,8.059999,8.75
"2024-04-12 06:01:03",15.109999,2705.0,8.059999,8.75
"2024-04-12 07:00:28",15.089998,2600.0,8.0,8.709999
"2024-04-12 07:01:08",15.089998,2600.0,8.0,8.709999
"2024-04-12 08:00:28",15.049999,2774.0,8.139999,8.709999
"2024-04-12 08:01:07",15.049999,2774.0,8.139999,8.709999
"2024-04-12 09:00:28",15.139999,2851.0,8.0199995,8.799999
"2024-04-12 09:01:08",15.139999,2851.0,8.0199995,8.799999
"2024-04-12 10:00:28",15.219999,2837.0,8.0,8.78
"2024-04-12 10:01:11",15.219999,2837.0,8.0,8.78
"2024-04-12 11:00:28",15.359999,2926.0,8.009999,8.879999
"2024-04-12 11:01:01",15.359999,2926.0,8.009999,8.879999
"2024-04-12 12:00:28",15.439999,2929.0,8.0199995,8.929999
"2024-04-12 12:01:11",15.439999,2929.0,8.0199995,8.929999
"2024-04-12 13:00:28",15.549999,2873.0,8.0199995,9.009999
"2024-04-12 13:01:10",15.549999,2873.0,8.0199995,9.009999
"2024-04-12 14:00:28",15.759998,2783.0,8.04,9.099999
"2024-04-12 14:01:06",15.759998,2783.0,8.04,9.099999
"2024-04-12 15:00:28",15.98,2810.0,8.049999,9.23
"2024-04-12 15:01:11",15.98,2810.0,8.049999,9.23
"2024-04-12 16:00:28",16.15,2898.0,8.059999,9.33
"2024-04-12 16:01:04",16.15,2898.0,8.059999,9.33
"2024-04-12 17:00:28",16.269999,2981.0,8.08,9.4
