data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",12.759998,1514.0,8.32,9.639999
"2024-04-02 14:00:28",12.789999,1513.0,8.28,9.41
"2024-04-02 15:00:28",12.869999,1512.0,8.29,9.86
"2024-04-02 16:00:28",12.939999,1512.0,8.2699995,9.799999
"2024-04-02 17:00:28",13.039999,1515.0,8.28,9.66
"2024-04-02 18:00:28",13.139999,1514.0,8.4,10.459999
"2024-04-02 19:00:28",13.24,1507.0,8.639999,12.5
"2024-04-02 20:00:28",13.179998,1509.0,8.53,12.189999
"2024-04-02 21:00:28",13.15,1510.0,8.5199995,12.049999
"2024-04-02 22:00:28",13.129999,1510.0,8.48,11.82
"2024-04-02 23:00:28",13.089998,1511.0,8.429999,11.539999
"2024-04-03 00:00:28",13.039999,1510.0,8.4,11.309999
"2024-04-03 01:00:28",12.959999,1513.0,8.379999,11.059999
"2024-04-03 02:00:28",12.879999,1514.0,8.349999,10.609999
"2024-04-03 03:00:28",12.82,1514.0,8.309999,10.24
"2024-04-03 04:00:28",12.759998,1515.0,8.29,10.23
"2024-04-03 05:00:28",12.689999,1515.0,8.259999,9.99
"2024-04-03 06:00:28",12.599998,1516.0,8.24,9.959999
"2024-04-03 07:00:28",12.379999,1519.0,8.209999,10.209999
"2024-04-03 08:00:28",12.339998,1522.0,8.19,9.83
"2024-04-03 09:00:28",12.309999,1522.0,8.179999,9.78
"2024-04-03 10:00:28",12.32,1523.0,8.169999,9.79
"2024-04-03 11:00:28",12.529999,1526.0,8.28,10.459999
"2024-04-03 12:00:28",12.619999,1526.0,8.2699995,10.299999
"2024-04-03 13:00:28",12.799999,1531.0,8.28,10.32
"2024-04-03 14:00:28",12.889999,1534.0,8.259999,10.2
"2024-04-03 15:00:28",13.0,1536.0,8.25,9.98
"2024-04-03 16:00:28",13.189999,1541.0,8.23,9.99
"2024-04-03 17:00:28",13.359999,1574.0,8.219999,9.929999
"2024-04-03 18:00:28",13.429998,1607.0,8.299999,11.0
"2024-04-03 19:00:28",13.449999,1618.0,8.339999,10.869999
"2024-04-03 20:00:28",13.429998,1621.0,8.349999,11.129999
"2024-04-03 21:00:28",13.379999,1619.0,8.36,11.24
"2024-04-03 22:00:28",13.32,1610.0,8.37,11.349998
"2024-04-03 23:00:28",13.259998,1604.0,8.339999,11.099998
