data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",16.13,723.89996,8.79,14.589998
"2024-04-11 12:01:17",16.13,723.89996,8.79,14.589998
"2024-04-11 13:00:28",16.89,720.3,8.849999,15.65
"2024-04-11 13:01:09",16.89,720.3,8.849999,15.65
"2024-04-11 14:00:28",17.07,718.89996,8.889999,15.33
"2024-04-11 14:01:09",17.07,718.89996,8.889999,15.33
"2024-04-11 15:00:28",17.339998,716.0,8.929999,15.949999
"2024-04-11 15:01:14",17.339998,716.0,8.929999,15.949999
"2024-04-11 16:00:28",17.539999,713.1,8.99,17.009998
"2024-04-11 16:01:14",17.539999,713.1,8.99,17.009998
"2024-04-11 17:00:28",17.369999,716.3,8.9,16.22
"2024-04-11 17:01:13",17.369999,716.3,8.9,16.22
"2024-04-11 18:00:28",16.9,723.8,8.719999,15.049999
"2024-04-11 18:01:09",16.9,723.8,8.719999,15.049999
"2024-04-11 19:00:28",16.3,723.19995,8.73,15.4
"2024-04-11 19:01:11",16.3,723.19995,8.73,15.4
"2024-04-11 20:00:28",15.9,721.89996,8.66,14.769999
"2024-04-11 20:01:11",15.9,721.89996,8.66,14.769999
"2024-04-11 21:00:28",15.529999,730.6,8.599999,13.74
"2024-04-11 21:01:08",15.529999,730.6,8.599999,13.74
"2024-04-11 22:00:28",15.299999,730.19995,8.559999,13.469999
"2024-04-11 22:01:13",15.299999,730.19995,8.559999,13.469999
"2024-04-11 23:00:28",15.15,731.3,8.54,12.539999
"2024-04-11 23:01:05",15.15,731.3,8.54,12.539999
"2024-04-12 00:00:28",15.059999,732.3,8.5,12.469999
"2024-04-12 00:01:09",15.059999,732.3,8.5,12.469999
"2024-04-12 01:00:28",14.99,732.6,8.48,12.169998
"2024-04-12 01:01:11",14.99,732.6,8.48,12.169998
"2024-04-12 02:00:28",14.929998,733.69995,8.45,11.619999
"2024-04-12 02:01:14",14.929998,733.69995,8.45,11.619999
"2024-04-12 03:00:28",14.869999,734.19995,8.469999,11.9
"2024-04-12 03:01:04",14.869999,734.19995,8.469999,11.9
"2024-04-12 04:00:28",14.789999,734.5,8.44,11.609999
"2024-04-12 04:01:12",14.789999,734.5,8.44,11.609999
"2024-04-12 05:00:28",14.719999,735.1,8.419999,11.089998
"2024-04-12 05:01:15",14.719999,735.1,8.419999,11.089998
"2024-04-12 06:00:28",14.66,735.6,8.41,10.849998
"2024-04-12 06:01:02",14.66,735.6,8.41,10.849998
"2024-04-12 07:00:28",14.619999,736.3,8.379999,10.609999
"2024-04-12 07:01:09",14.619999,736.3,8.379999,10.609999
"2024-04-12 08:00:28",14.589998,736.8,8.32,10.179999
"2024-04-12 08:01:14",14.589998,736.8,8.32,10.179999
"2024-04-12 09:00:28",14.57,735.89996,8.45,10.639999
"2024-04-12 09:01:12",14.57,735.89996,8.45,10.639999
"2024-04-12 10:00:28",14.609999,736.5,8.349999,10.49
"2024-04-12 10:01:06",14.609999,736.5,8.349999,10.49
"2024-04-12 11:00:28",14.759998,731.69995,8.459999,10.41
"2024-04-12 11:01:01",14.759998,731.69995,8.459999,10.41
"2024-04-12 12:00:28",15.23,725.0,8.65,13.66
"2024-04-12 12:01:09",15.23,725.0,8.65,13.66
"2024-04-12 13:00:28",15.799999,724.1,8.7699995,14.519999
"2024-04-12 13:01:03",15.799999,724.1,8.7699995,14.519999
"2024-04-12 14:00:28",16.24,722.19995,8.809999,15.15
"2024-04-12 14:01:09",16.24,722.19995,8.809999,15.15
"2024-04-12 15:00:28",16.429998,717.6,8.849999,15.099998
"2024-04-12 15:01:10",16.429998,717.6,8.849999,15.099998
"2024-04-12 16:00:28",17.38,715.5,8.95,17.019999
"2024-04-12 16:01:04",17.38,715.5,8.95,17.019999
"2024-04-12 17:00:28",17.439999,715.1,8.95,16.109999
"2024-04-12 17:01:11",17.439999,715.1,8.95,16.109999
"2024-04-12 18:00:28",16.839998,695.8,8.959999,17.289999
"2024-04-12 18:01:15",16.839998,695.8,8.959999,17.289999
"2024-04-12 19:00:28",16.679998,714.5,8.91,17.4
"2024-04-12 19:01:12",16.679998,714.5,8.91,17.4
"2024-04-12 20:00:28",16.38,720.3,8.78,15.719999
"2024-04-12 20:00:59",16.38,720.3,8.78,15.719999
"2024-04-12 21:00:28",16.08,723.5,8.69,14.589998
"2024-04-12 21:01:14",16.08,723.5,8.69,14.589998
"2024-04-12 22:00:28",15.83,723.0,8.719999,14.559999
"2024-04-12 22:00:55",15.83,723.0,8.719999,14.559999
"2024-04-12 23:00:28",15.629999,724.6,8.66,13.839998
"2024-04-12 23:01:10",15.629999,724.6,8.66,13.839998
"2024-04-13 00:00:28",15.389999,724.89996,8.29,14.189999
"2024-04-13 00:01:11",15.389999,724.89996,8.29,14.189999
"2024-04-13 01:00:28",15.219999,727.1,8.57,13.859999
"2024-04-13 01:01:08",15.219999,727.1,8.57,13.859999
"2024-04-13 02:00:28",15.109999,729.1,8.53,12.74
"2024-04-13 02:01:08",15.109999,729.1,8.53,12.74
"2024-04-13 03:00:28",15.019999,731.6,8.44,11.66
"2024-04-13 03:01:06",15.019999,731.6,8.44,11.66
"2024-04-13 04:00:28",14.919998,732.69995,8.419999,11.469999
"2024-04-13 04:01:04",14.919998,732.69995,8.419999,11.469999
"2024-04-13 05:00:28",14.82,734.1,8.349999,10.859999
"2024-04-13 05:01:09",14.82,734.1,8.349999,10.859999
"2024-04-13 06:00:28",14.709999,734.8,8.339999,10.49
"2024-04-13 06:01:13",14.709999,734.8,8.339999,10.49
"2024-04-13 07:00:28",14.589998,735.39996,8.299999,10.379999
"2024-04-13 07:01:10",14.589998,735.39996,8.299999,10.379999
"2024-04-13 08:00:28",14.58,735.6,8.32,10.349998
"2024-04-13 08:01:07",14.58,735.6,8.32,10.349998
"2024-04-13 09:00:28",15.039999,727.69995,8.58,11.289999
"2024-04-13 09:01:06",15.039999,727.69995,8.58,11.289999
"2024-04-13 10:00:28",15.699999,725.69995,8.639999,12.139999
"2024-04-13 10:01:08",15.699999,725.69995,8.639999,12.139999
"2024-04-13 11:00:28",17.119999,721.1,8.73,13.9
"2024-04-13 11:01:07",17.119999,721.1,8.73,13.9
"2024-04-13 12:00:28",17.449999,716.3,8.82,15.08
"2024-04-13 12:01:07",17.449999,716.3,8.82,15.08
"2024-04-13 13:00:28",18.64,718.19995,8.87,15.73
"2024-04-13 13:01:08",18.64,718.19995,8.87,15.73
"2024-04-13 14:00:28",19.039999,712.39996,8.9,15.449999
