data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",13.709999,1512.0,8.0199995,8.99
"2024-04-02 14:00:28",13.679998,1506.0,8.03,9.089999
"2024-04-02 15:00:28",13.639999,1508.0,8.0199995,9.099999
"2024-04-02 16:00:28",13.599998,1506.0,8.03,9.25
"2024-04-02 17:00:28",13.529999,1511.0,8.009999,8.929999
"2024-04-02 18:00:28",13.389999,1530.0,8.04,9.299999
"2024-04-02 19:00:28",13.32,1521.0,8.0199995,9.099999
"2024-04-02 20:00:28",13.25,1523.0,8.049999,9.309999
"2024-04-02 21:00:28",13.219999,1538.0,8.04,9.16
"2024-04-02 22:00:28",13.189999,1536.0,8.0,8.36
"2024-04-02 23:00:28",13.179998,1530.0,7.9299994,8.03
"2024-04-03 00:00:28",13.15,1461.0,7.95,7.87
"2024-04-03 01:00:28",13.119999,1437.0,7.95,7.7599993
"2024-04-03 02:00:28",13.049999,1412.0,7.9399996,7.74
"2024-04-03 03:00:28",12.959999,1309.0,7.8999996,7.629999
"2024-04-03 04:00:28",12.799999,1176.0,7.83,7.4799995
"2024-04-03 05:00:28",12.609999,1070.0,7.75,6.8199997
"2024-04-03 06:00:28",12.4,997.0,7.7,6.33
"2024-04-03 07:00:28",12.209999,943.6,7.66,5.8899994
"2024-04-03 08:00:28",12.099998,893.0,7.6499996,5.379999
"2024-04-03 09:00:28",11.949999,812.89996,7.669999,5.879999
"2024-04-03 10:00:28",11.779999,765.1,7.7199993,6.6099997
"2024-04-03 11:00:28",11.689999,751.89996,7.75,6.8999996
"2024-04-03 12:00:28",11.679998,758.39996,7.7799997,7.12
"2024-04-03 13:00:28",11.679998,769.39996,7.839999,7.74
"2024-04-03 14:00:28",11.709999,791.0,7.879999,8.129999
"2024-04-03 15:00:28",11.709999,800.8,7.8599997,7.9299994
"2024-04-03 16:00:28",11.75,803.0,7.799999,7.0
"2024-04-03 17:00:28",11.759998,808.69995,7.7699995,6.339999
"2024-04-03 18:00:28",11.779999,814.0,7.79,7.12
"2024-04-03 19:00:28",11.809999,815.89996,7.8599997,8.059999
"2024-04-03 20:00:28",11.809999,811.8,7.7799997,7.0199995
"2024-04-03 21:00:28",11.809999,802.89996,7.799999,6.799999
"2024-04-03 22:00:28",11.83,792.69995,7.7699995,7.0599995
"2024-04-03 23:00:28",11.809999,797.39996,7.74,6.3599997
"2024-04-04 00:00:28",11.74,813.69995,7.74,6.6499996
"2024-04-04 01:00:28",11.65,823.8999,7.709999,6.3599997
"2024-04-04 02:00:28",11.559999,840.19995,7.74,6.299999
"2024-04-04 03:00:28",11.5,851.3999,7.74,6.83
"2024-04-04 04:00:28",11.469999,864.5,7.7199993,5.879999
"2024-04-04 05:00:28",11.439999,872.0,7.709999,5.3199997
"2024-04-04 06:00:28",11.429998,884.69995,7.6799994,5.0
"2024-04-04 07:00:28",11.4,903.3999,7.7299995,5.29
"2024-04-04 08:00:28",11.379999,908.69995,7.7,4.58
"2024-04-04 09:00:28",11.359999,940.0,7.6899996,5.0699997
"2024-04-04 10:00:28",11.379999,942.0,7.709999,4.27
"2024-04-04 11:00:28",11.48,953.1,7.6799994,4.0099998
"2024-04-04 12:00:28",11.679998,963.7999,7.7199993,5.7799997
"2024-04-04 13:00:28",11.82,980.0,7.7799997,5.04
"2024-04-04 14:00:28",11.879999,977.6,7.7799997,6.4399996
"2024-04-04 15:00:28",12.009998,969.7999,7.7599993,5.3599997
"2024-04-04 16:00:28",12.169998,974.6,7.79,6.2199993
"2024-04-04 17:00:28",12.259998,974.1,7.79,5.8099995
"2024-04-04 18:00:28",12.309999,988.69995,7.7599993,5.9299994
"2024-04-04 19:00:28",12.379999,990.8999,7.7599993,8.08
"2024-04-04 20:00:28",12.429998,996.69995,7.87,7.419999
"2024-04-04 21:00:28",12.459999,1002.0,7.8199997,6.7799997
"2024-04-04 22:00:28",12.49,1011.0,7.7799997,6.379999
"2024-04-04 23:00:28",12.529999,1009.0,7.7699995,5.5
"2024-04-05 00:00:28",12.549999,1011.0,7.7799997,5.6399994
"2024-04-05 01:00:28",12.559999,1028.0,7.799999,6.1499996
"2024-04-05 02:00:28",12.549999,1029.0,7.7599993,6.0599995
"2024-04-05 03:00:28",12.5,1027.0,7.7299995,5.7799997
"2024-04-05 04:00:28",12.449999,1027.0,7.7,5.6499996
"2024-04-05 05:00:28",12.4,1026.0,7.7,5.2299995
"2024-04-05 06:00:28",12.359999,1023.0,7.7299995,5.4799995
"2024-04-05 07:00:28",12.289999,1007.0,7.74,6.25
"2024-04-05 08:00:28",12.309999,1025.0,7.75,6.169999
"2024-04-05 09:00:28",12.32,1017.0,7.75,6.1099997
"2024-04-05 10:00:28",12.379999,1010.0,7.8199997,6.2799997
"2024-04-05 11:00:28",12.449999,1007.0,7.83,6.4299994
"2024-04-05 12:00:28",12.58,1016.0,7.8599997,5.66
"2024-04-05 13:00:28",12.679998,1044.0,7.879999,5.879999
"2024-04-05 14:00:28",12.779999,1068.0,7.9399996,7.91
"2024-04-05 15:00:28",12.83,1092.0,7.8199997,6.04
"2024-04-05 16:00:28",12.98,1098.0,7.879999,6.7
"2024-04-05 17:00:28",13.07,1103.0,7.879999,6.2299995
"2024-04-05 18:00:28",13.139999,1109.0,7.91,6.8499994
"2024-04-05 19:00:28",13.189999,1116.0,7.9399996,8.349999
"2024-04-05 20:00:28",13.24,1126.0,7.83,7.839999
"2024-04-05 21:00:28",13.259998,1133.0,7.79,7.41
"2024-04-05 22:00:28",13.259998,1150.0,7.75,7.1099997
"2024-04-05 23:00:28",13.24,1160.0,7.7299995,6.629999
"2024-04-06 00:00:28",13.219999,1170.0,7.7,5.7199993
"2024-04-06 01:00:28",13.209999,1185.0,7.6799994,5.12
"2024-04-06 02:00:28",13.209999,1203.0,7.669999,5.6799994
"2024-04-06 03:00:28",13.209999,1216.0,7.709999,6.6099997
"2024-04-06 04:00:28",13.209999,1219.0,7.75,5.83
"2024-04-06 05:00:28",13.199999,1208.0,7.799999,6.959999
"2024-04-06 06:00:28",13.179998,1201.0,7.7699995,6.8199997
"2024-04-06 07:00:28",13.16,1199.0,7.75,6.5
"2024-04-06 08:00:28",13.15,1201.0,7.74,5.2299995
"2024-04-06 09:00:28",13.139999,1233.0,7.7599993,5.5999994
