data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-05-22 15:00:28",20.0,1060.0,8.94,13.039999
"2024-05-22 16:00:28",20.529999,1065.0,9.07,14.619999
"2024-05-22 17:00:28",20.769997,1058.0,9.12,14.969999
"2024-05-22 18:00:28",20.789997,1050.0,9.099999,14.109999
"2024-05-22 19:00:28",20.629997,1043.0,9.009999,13.32
"2024-05-22 20:00:28",20.289999,1041.0,8.959999,11.91
"2024-05-22 21:00:28",19.9,1044.0,8.839999,10.219999
"2024-05-22 22:00:28",19.5,1049.0,8.65,8.45
"2024-05-22 23:00:28",19.16,1047.0,8.49,7.049999
"2024-05-23 00:00:28",18.89,1036.0,8.33,6.41
"2024-05-23 01:00:28",18.65,1025.0,8.209999,6.2
"2024-05-23 02:00:28",18.449999,1016.0,8.089999,5.9799995
"2024-05-23 03:00:28",18.22,1004.0,8.009999,5.9299994
"2024-05-23 04:00:28",18.05,995.2999,7.95,5.87
"2024-05-23 05:00:28",17.869999,990.8999,7.8899994,6.12
"2024-05-23 06:00:28",17.72,986.3999,7.8599997,6.12
"2024-05-23 07:00:28",17.66,983.8999,7.87,6.24
"2024-05-23 08:00:28",17.669998,989.8999,7.9399996,7.0099993
"2024-05-23 09:00:28",17.919998,999.7999,8.11,8.419999
"2024-05-23 10:00:28",18.41,1007.0,8.36,10.459999
"2024-05-23 11:00:28",19.15,1009.0,8.639999,12.789999
"2024-05-23 12:00:28",20.019999,1012.0,8.86,14.779999
"2024-05-23 13:00:28",20.859997,1018.0,9.0199995,16.24
"2024-05-23 14:00:28",21.279999,1018.0,9.07,16.49
"2024-05-23 15:00:28",21.759998,1016.0,9.139999,16.31
"2024-05-23 16:00:28",21.939999,1011.0,9.169999,15.519999
"2024-05-23 17:00:28",21.949997,1014.0,9.099999,14.609999
"2024-05-23 18:00:28",21.769997,1018.0,9.099999,13.219999
"2024-05-23 19:00:28",21.529999,1020.0,9.049999,12.339998
"2024-05-23 20:00:28",21.269997,1020.0,9.009999,11.519999
"2024-05-23 21:00:28",20.919998,1026.0,8.94,10.04
"2024-05-23 22:00:28",20.5,1036.0,8.839999,8.559999
"2024-05-23 23:00:28",20.109999,1049.0,8.679999,7.3099995
"2024-05-24 00:00:28",19.73,1061.0,8.5199995,6.419999
"2024-05-24 01:00:28",19.429998,1067.0,8.37,6.12
"2024-05-24 02:00:28",19.21,1074.0,8.24,5.8999996
"2024-05-24 03:00:28",19.029999,1077.0,8.129999,5.87
"2024-05-24 04:00:28",18.869999,1082.0,8.049999,5.91
"2024-05-24 05:00:28",18.72,1085.0,7.959999,5.6899996
"2024-05-24 06:00:28",18.58,1088.0,7.95,5.4799995
"2024-05-24 07:00:28",18.539999,1091.0,7.9299994,5.6499996
"2024-05-24 08:00:28",18.589998,1092.0,7.9799995,6.1399994
"2024-05-24 09:00:28",18.74,1093.0,8.11,7.0099993
"2024-05-24 10:00:28",19.269999,1091.0,8.4,9.36
"2024-05-24 11:00:28",19.759998,1087.0,8.62,11.08
"2024-05-24 12:00:28",20.15,1081.0,8.82,12.349998
"2024-05-24 13:00:28",20.689999,1082.0,8.94,13.289999
"2024-05-24 14:00:28",21.0,1077.0,8.94,13.059999
"2024-05-24 15:00:28",20.099998,990.8999,8.94,10.609999
"2024-05-24 16:00:28",19.679998,975.3999,8.79,8.959999
"2024-05-24 17:00:28",19.88,983.2999,8.839999,9.23
"2024-05-24 18:00:28",20.0,894.3999,8.73,9.169999
"2024-05-24 19:00:28",19.539999,761.0,8.419999,8.25
"2024-05-24 20:00:28",18.849998,657.6,7.8999996,7.0999994
"2024-05-24 21:00:28",18.339998,554.0,7.66,6.379999
"2024-05-24 22:00:28",18.019999,560.89996,7.589999,6.33
"2024-05-24 23:00:28",18.089998,692.89996,7.7199993,6.5599995
"2024-05-25 00:00:28",18.109999,706.19995,7.8099995,6.549999
"2024-05-25 01:00:28",18.039999,693.3,7.839999,6.5999994
"2024-05-25 02:00:28",17.89,674.8,7.8199997,6.3199997
"2024-05-25 03:00:28",17.679998,680.3,7.799999,6.29
"2024-05-25 04:00:28",17.419998,673.3,7.7799997,6.299999
"2024-05-25 05:00:28",17.199999,673.89996,7.75,6.1899996
"2024-05-25 06:00:28",17.119999,674.0,7.7299995,5.8199997
"2024-05-25 07:00:28",17.13,671.19995,7.709999,6.4399996
"2024-05-25 08:00:28",17.16,676.39996,7.7,6.5999994
"2024-05-25 09:00:28",17.48,679.8,7.7799997,6.45
"2024-05-25 10:00:28",18.039999,686.69995,7.799999,6.8999996
"2024-05-25 11:00:28",18.599998,709.89996,7.8999996,7.3199997
"2024-05-25 12:00:28",19.32,741.1,7.99,8.469999
"2024-05-25 13:00:28",19.419998,752.69995,7.919999,8.16
"2024-05-25 14:00:28",19.47,773.5,8.16,9.28
"2024-05-25 15:00:28",20.25,794.0,8.309999,9.879999
