data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2023-05-30 00:00:00",18.6,966.6,7.71,3.72
"2023-05-30 01:00:00",18.6,965.7,7.7,3.74
"2023-05-30 03:00:00",18.4,970.2,7.71,3.73
"2023-05-30 05:00:00",18.3,967.6,7.69,3.75
"2023-05-30 06:00:00",18.3,963.6,7.69,3.77
"2023-05-30 07:00:00",18.4,948.2,7.74,5.09
"2023-05-30 08:00:00",18.4,942.5,7.75,5.4
"2023-05-30 09:00:00",18.4,937.0,7.77,5.78
"2023-05-30 10:00:00",18.5,937.0,7.8,8.69
"2023-05-30 11:00:00",18.6,939.2,8.0,8.4
"2023-05-30 12:00:00",18.7,939.8,8.14,8.82
"2023-05-30 13:00:00",18.8,940.8,8.29,9.56
"2023-05-30 14:00:00",18.9,937.8,8.34,9.56
"2023-05-30 16:00:00",19.2,925.3,8.35,8.69
"2023-05-30 17:00:00",19.1,916.3,8.18,7.88
"2023-05-30 18:00:00",19.1,901.6,8.01,6.63
"2023-05-30 20:00:00",19.0,871.9,7.7,3.6
"2023-05-30 22:00:00",18.9,860.5,7.65,2.99
"2023-05-30 23:00:00",18.9,851.1,7.62,3.38
"2023-05-31 01:00:00",18.8,840.6,7.6,3.16
"2023-05-31 02:00:00",18.7,837.0,7.59,3.11
"2023-05-31 03:00:00",18.7,840.3,7.58,3.26
"2023-05-31 04:00:00",18.6,844.3,7.59,3.17
"2023-05-31 05:00:00",18.6,848.1,7.57,3.54
"2023-05-31 06:00:00",18.6,848.7,7.59,3.59
"2023-05-31 07:00:00",18.6,846.2,7.62,3.32
"2023-05-31 08:00:00",18.6,840.2,7.63,3.18
"2023-05-31 09:00:00",18.7,839.1,7.65,4.03
"2023-05-31 10:00:00",18.8,832.5,7.73,5.33
"2023-05-31 12:00:00",19.1,821.5,8.51,8.99
"2023-05-31 13:00:00",19.6,821.2,8.54,10.28
"2023-05-31 14:00:00",20.0,819.3,8.48,8.94
"2023-05-31 15:00:00",19.9,817.5,8.62,9.06
"2023-05-31 16:00:00",19.9,812.0,8.59,7.82
"2023-05-31 17:00:00",19.9,807.9,8.47,6.98
"2023-05-31 18:00:00",19.8,808.2,7.94,3.71
"2023-05-31 19:00:00",19.9,799.7,7.77,2.79
"2023-05-31 20:00:00",19.8,802.3,7.64,2.81
"2023-05-31 21:00:00",19.8,803.9,7.56,2.06
"2023-05-31 22:00:00",19.6,800.7,7.52,0.82
"2023-06-01 00:00:00",19.3,801.2,7.53,1.99
"2023-06-01 01:00:00",19.3,802.9,7.52,2.16
"2023-06-01 02:00:00",19.2,805.8,7.51,1.73
"2023-06-01 03:00:00",19.1,809.1,7.51,1.79
"2023-06-01 04:00:00",19.1,813.5,7.48,1.61
"2023-06-01 06:00:00",19.0,813.7,7.5,1.24
"2023-06-01 07:00:00",19.0,817.9,7.54,1.7
"2023-06-01 08:00:00",19.0,822.6,7.56,2.15
"2023-06-01 09:00:00",19.1,826.9,7.6,3.74
"2023-06-01 10:00:00",19.2,832.5,7.65,5.48
"2023-06-01 11:00:00",19.3,832.2,7.79,6.52
"2023-06-01 12:00:00",19.3,819.3,8.0,6.71
"2023-06-01 13:00:00",19.5,811.0,8.04,7.04
"2023-06-01 14:00:00",19.6,807.9,7.98,7.15
"2023-06-01 15:00:00",19.8,804.3,7.98,7.07
"2023-06-01 17:00:00",19.8,794.9,7.99,5.72
"2023-06-01 18:00:00",19.9,793.0,7.92,5.04
"2023-06-01 20:00:00",19.8,793.5,7.63,2.35
"2023-06-01 21:00:00",19.9,793.6,7.52,2.0
"2023-06-01 22:00:00",19.8,796.7,7.51,2.36
"2023-06-01 23:00:00",19.8,795.2,7.51,3.01
"2023-06-02 00:00:00",19.7,796.3,7.51,2.07
"2023-06-02 01:00:00",19.6,795.5,7.51,2.3
"2023-06-02 03:00:00",19.6,794.3,7.5,1.37
