data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-29 15:00:28",15.179998,6511.0,8.73,21.199997
"2024-04-29 16:00:28",15.129999,6535.0,8.679999,21.059998
"2024-04-29 17:00:28",15.23,6564.0,8.65,20.23
"2024-04-29 18:00:27",15.25,6536.0,8.58,18.919998
"2024-04-29 19:00:28",15.209999,6647.0,8.41,15.769999
"2024-04-29 20:00:27",15.32,6681.0,8.299999,13.99
"2024-04-29 21:00:28",15.15,6770.0,8.179999,12.119999
"2024-04-29 22:00:28",15.129999,6825.0,8.11,10.73
"2024-04-30 01:00:27",15.709999,6633.0,8.33,15.66
"2024-04-30 02:00:27",15.509998,6645.0,8.24,13.669998
"2024-04-30 03:00:26",15.339998,6655.0,8.2,12.289999
"2024-04-30 04:00:28",15.379999,6658.0,8.16,10.98
"2024-04-30 05:00:27",15.359999,6661.0,8.15,10.719999
"2024-04-30 06:00:28",15.309999,6658.0,8.12,11.349998
"2024-04-30 07:00:26",15.23,6585.0,8.169999,12.469999
"2024-04-30 08:00:27",15.199999,6604.0,8.129999,11.019999
"2024-04-30 09:00:28",15.269999,6402.0,8.29,16.14
"2024-04-30 10:00:27",15.689999,6458.0,8.379999,19.57
"2024-04-30 11:00:27",16.13,6224.0,8.79,26.55
"2024-04-30 12:00:17",16.08,6261.0,8.7699995,24.64
"2024-04-30 13:00:26",16.4,6180.0,8.929999,28.379997
"2024-04-30 14:00:28",16.359999,6226.0,8.879999,28.079998
"2024-04-30 15:00:26",17.099998,6290.0,8.98,26.349998
"2024-04-30 16:00:27",17.089998,6488.0,8.839999,25.019997
"2024-04-30 17:00:26",17.16,6509.0,8.78,23.019997
"2024-04-30 18:00:26",17.14,6673.0,8.589999,20.189999
"2024-04-30 19:00:25",17.38,6547.0,8.66,22.109997
"2024-04-30 20:00:26",17.98,6447.0,8.98,25.289997
"2024-04-30 21:00:27",17.38,7137.0,8.169999,13.719999
"2024-04-30 22:00:26",17.4,7083.0,8.19,14.199999
"2024-04-30 23:00:26",16.699999,7250.0,7.95,7.6899996
"2024-05-01 00:00:25",16.49,7095.0,8.07,8.74
"2024-05-01 01:00:25",16.91,6943.0,8.219999,14.299999
"2024-05-01 02:00:25",17.269999,6893.0,8.25,14.959999
"2024-05-01 03:00:26",17.339998,6858.0,8.23,15.24
"2024-05-01 04:00:26",17.24,6856.0,8.23,15.0
"2024-05-01 05:00:25",17.339998,6752.0,8.36,16.859999
"2024-05-01 06:00:24",17.33,6735.0,8.349999,17.38
"2024-05-01 07:00:25",17.24,6742.0,8.349999,17.15
"2024-05-01 08:00:24",17.23,6527.0,8.599999,21.189999
"2024-05-01 09:00:26",17.25,6465.0,8.69,23.009998
"2024-05-01 10:00:25",17.289999,6411.0,8.719999,24.019997
"2024-05-01 11:00:25",17.529999,6299.0,8.959999,27.75
"2024-05-01 12:00:24",17.96,6316.0,9.04,27.519997
"2024-05-01 13:00:27",18.23,6328.0,9.059999,27.369999
"2024-05-01 14:00:26",18.419998,6340.0,9.08,27.279999
"2024-05-01 15:00:23",18.3,6489.0,8.919999,26.71
"2024-05-01 16:00:24",19.029999,6435.0,9.059999,26.96
"2024-05-01 17:00:24",18.98,6489.0,8.98,26.339996
"2024-05-01 18:00:25",18.81,6652.0,8.86,25.259998
"2024-05-01 19:00:24",19.169998,6473.0,9.009999,26.079998
"2024-05-01 20:00:27",19.07,6482.0,8.98,26.009998
"2024-05-01 21:00:24",18.91,6482.0,8.94,25.809998
"2024-05-01 22:00:24",18.39,6800.0,8.45,20.14
"2024-05-01 23:00:23",17.599998,7030.0,7.99,10.809999
"2024-05-02 00:00:24",16.96,7000.0,7.9299994,6.9399996
"2024-05-02 01:00:24",17.06,6825.0,8.23,14.959999
"2024-05-02 02:00:25",17.429998,6790.0,8.339999,17.13
"2024-05-02 03:00:24",17.699999,6781.0,8.349999,17.609999
"2024-05-02 04:00:23",17.75,6776.0,8.28,17.0
"2024-05-02 05:00:23",17.869999,6765.0,8.33,17.769999
"2024-05-02 06:00:23",17.689999,6741.0,8.2699995,16.539999
"2024-05-02 07:00:26",17.71,6715.0,8.33,17.97
"2024-05-02 08:00:23",17.83,6705.0,8.389999,18.8
"2024-05-02 09:00:23",17.859999,6457.0,8.7699995,26.25
"2024-05-02 10:00:23",17.98,6601.0,8.589999,23.609997
"2024-05-02 11:00:27",18.15,6489.0,8.87,26.189999
"2024-05-02 12:00:23",18.349998,6511.0,8.879999,26.029999
"2024-05-02 13:00:26",18.47,6508.0,8.91,25.39
"2024-05-02 14:00:22",18.74,6518.0,8.99,26.349998
"2024-05-02 15:00:23",19.05,6611.0,8.98,26.929996
"2024-05-02 16:00:23",19.269999,6570.0,9.03,25.789997
"2024-05-02 17:00:22",19.41,6562.0,9.009999,26.57
"2024-05-02 18:00:22",19.429998,6563.0,8.99,25.919998
"2024-05-02 19:00:28",19.16,6633.0,8.879999,24.649998
"2024-05-02 20:00:22",19.15,6726.0,8.79,24.289997
"2024-05-02 21:00:28",18.89,7006.0,8.509999,19.74
"2024-05-02 22:00:22",18.689999,7188.0,8.179999,14.549999
"2024-05-02 23:00:22",18.56,7254.0,8.04,11.849998
"2024-05-03 00:00:24",18.619999,7222.0,8.089999,14.849998
"2024-05-03 01:00:22",18.89,6627.0,8.719999,25.529999
"2024-05-03 02:00:22",18.88,6625.0,8.7699995,25.009998
"2024-05-03 03:00:22",18.83,6604.0,8.79,24.89
"2024-05-03 04:00:21",18.75,6625.0,8.74,23.849998
"2024-05-03 05:00:22",18.63,6583.0,8.79,23.859997
"2024-05-03 06:00:24",18.519999,6698.0,8.61,20.649998
