data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.539999,1063.0,8.169999,8.16
"2024-04-11 12:01:18",15.539999,1063.0,8.169999,8.16
"2024-04-11 13:00:28",15.539999,1061.0,8.139999,8.759999
"2024-04-11 13:01:17",15.539999,1061.0,8.139999,8.759999
"2024-04-11 14:00:28",15.549999,1060.0,8.16,8.459999
"2024-04-11 14:01:15",15.549999,1060.0,8.16,8.459999
"2024-04-11 15:00:28",15.57,1060.0,8.29,8.83
"2024-04-11 15:01:17",15.57,1060.0,8.29,8.83
"2024-04-11 16:00:28",15.519999,1060.0,8.16,8.99
"2024-04-11 16:01:14",15.519999,1060.0,8.16,8.99
"2024-04-11 17:00:28",15.49,1061.0,8.15,9.23
"2024-04-11 17:01:16",15.49,1061.0,8.15,9.23
"2024-04-11 18:00:28",15.459999,1061.0,8.16,9.04
"2024-04-11 18:01:06",15.459999,1061.0,8.16,9.04
"2024-04-11 19:00:28",15.4,1062.0,8.089999,8.04
"2024-04-11 19:01:11",15.4,1062.0,8.089999,8.04
"2024-04-11 20:00:28",15.389999,1062.0,8.129999,6.95
"2024-04-11 20:01:25",15.389999,1062.0,8.129999,6.95
"2024-04-11 21:00:28",15.349998,1062.0,8.169999,7.3499994
"2024-04-11 21:01:13",15.349998,1062.0,8.169999,7.3499994
"2024-04-11 22:00:28",15.309999,1061.0,8.099999,6.1099997
"2024-04-11 22:01:08",15.309999,1061.0,8.099999,6.1099997
"2024-04-11 23:00:28",15.279999,1061.0,8.049999,5.1799994
"2024-04-11 23:01:08",15.279999,1061.0,8.049999,5.1799994
"2024-04-12 00:00:28",15.259998,1060.0,8.049999,7.3599997
"2024-04-12 00:01:16",15.259998,1060.0,8.049999,7.3599997
"2024-04-12 01:00:28",15.23,1059.0,8.04,6.58
"2024-04-12 01:01:03",15.23,1059.0,8.04,6.58
"2024-04-12 02:00:28",15.209999,1060.0,8.059999,6.419999
"2024-04-12 02:01:15",15.209999,1060.0,8.059999,6.419999
"2024-04-12 03:00:28",15.189999,1062.0,8.08,6.16
"2024-04-12 03:01:09",15.189999,1062.0,8.08,6.16
"2024-04-12 04:00:28",15.179998,1064.0,8.089999,4.99
"2024-04-12 04:01:09",15.179998,1064.0,8.089999,4.99
"2024-04-12 05:00:28",15.169998,1065.0,8.089999,6.629999
"2024-04-12 05:01:16",15.169998,1065.0,8.089999,6.629999
"2024-04-12 06:00:28",15.15,1067.0,8.03,5.1399994
"2024-04-12 06:01:07",15.15,1067.0,8.03,5.1399994
"2024-04-12 07:00:28",15.119999,1068.0,8.059999,4.6099997
"2024-04-12 07:01:12",15.119999,1068.0,8.059999,4.6099997
"2024-04-12 08:00:28",15.089998,1069.0,8.009999,6.45
"2024-04-12 08:01:07",15.089998,1069.0,8.009999,6.45
"2024-04-12 09:00:28",15.109999,1068.0,8.07,5.24
"2024-04-12 09:01:13",15.109999,1068.0,8.07,5.24
"2024-04-12 10:00:28",15.119999,1069.0,8.059999,5.33
"2024-04-12 10:01:11",15.119999,1069.0,8.059999,5.33
"2024-04-12 11:00:28",15.209999,1069.0,8.04,6.419999
"2024-04-12 11:01:02",15.209999,1069.0,8.04,6.419999
"2024-04-12 12:00:28",15.189999,1068.0,8.08,5.5699997
"2024-04-12 12:01:09",15.189999,1068.0,8.08,5.5699997
"2024-04-12 13:00:28",15.189999,1067.0,8.059999,6.91
"2024-04-12 13:01:04",15.189999,1067.0,8.059999,6.91
"2024-04-12 14:00:28",15.269999,1067.0,8.07,7.879999
"2024-04-12 14:01:09",15.269999,1067.0,8.07,7.879999
"2024-04-12 15:00:28",15.309999,1066.0,8.15,6.95
"2024-04-12 15:01:09",15.309999,1066.0,8.15,6.95
"2024-04-12 16:00:28",15.299999,1066.0,8.19,6.629999
"2024-04-12 16:01:10",15.299999,1066.0,8.19,6.629999
"2024-04-12 17:00:28",15.309999,1065.0,8.179999,8.32
"2024-04-12 17:01:14",15.309999,1065.0,8.179999,8.32
"2024-04-12 18:00:28",15.299999,1067.0,8.089999,6.2299995
"2024-04-12 18:01:11",15.299999,1067.0,8.089999,6.2299995
"2024-04-12 19:00:28",15.269999,1067.0,8.11,5.33
"2024-04-12 19:01:11",15.269999,1067.0,8.11,5.33
"2024-04-12 20:00:28",15.259998,1067.0,8.04,5.2
"2024-04-12 20:01:10",15.259998,1067.0,8.04,5.2
"2024-04-12 21:00:28",15.24,1068.0,7.9699993,5.04
"2024-04-12 21:01:15",15.24,1068.0,7.9699993,5.04
"2024-04-12 22:00:28",15.24,1071.0,7.959999,5.6799994
"2024-04-12 22:01:06",15.24,1071.0,7.959999,5.6799994
"2024-04-12 23:00:28",15.219999,1068.0,7.99,6.33
"2024-04-12 23:01:15",15.219999,1068.0,7.99,6.33
"2024-04-13 00:00:28",15.179998,1069.0,7.9699993,5.5099993
"2024-04-13 00:01:13",15.179998,1069.0,7.9699993,5.5099993
"2024-04-13 01:00:28",15.16,1069.0,7.95,6.49
"2024-04-13 01:01:09",15.16,1069.0,7.95,6.49
"2024-04-13 02:00:28",15.139999,1069.0,8.009999,6.089999
"2024-04-13 02:01:13",15.139999,1069.0,8.009999,6.089999
"2024-04-13 03:00:28",15.099998,1071.0,7.9299994,5.1899996
"2024-04-13 03:01:13",15.099998,1071.0,7.9299994,5.1899996
"2024-04-13 04:00:28",15.099998,1072.0,8.0,6.12
"2024-04-13 04:01:03",15.099998,1072.0,8.0,6.12
"2024-04-13 05:00:28",15.08,1073.0,7.99,6.8499994
"2024-04-13 05:01:09",15.08,1073.0,7.99,6.8499994
"2024-04-13 06:00:28",15.07,1075.0,7.9799995,6.8499994
"2024-04-13 06:01:14",15.07,1075.0,7.9799995,6.8499994
"2024-04-13 07:00:28",15.07,1078.0,8.049999,6.62
"2024-04-13 07:01:16",15.07,1078.0,8.049999,6.62
"2024-04-13 08:00:28",15.039999,1080.0,8.07,6.5699997
"2024-04-13 08:01:11",15.039999,1080.0,8.07,6.5699997
"2024-04-13 09:00:28",15.059999,1083.0,8.099999,7.5
"2024-04-13 09:01:12",15.059999,1083.0,8.099999,7.5
"2024-04-13 10:00:28",15.129999,1088.0,8.16,7.8899994
"2024-04-13 10:01:00",15.129999,1088.0,8.16,7.8899994
"2024-04-13 11:00:28",15.23,1090.0,8.219999,8.19
