data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.669998,1836.0,7.9699993,10.669998
"2024-04-11 12:01:09",15.669998,1836.0,7.9699993,10.669998
"2024-04-11 13:00:28",15.509998,1817.0,7.99,10.849998
"2024-04-11 13:01:02",15.509998,1817.0,7.99,10.849998
"2024-04-11 14:00:28",15.609999,1816.0,8.0,10.839998
"2024-04-11 14:01:06",15.609999,1816.0,8.0,10.839998
"2024-04-11 15:00:28",15.91,1810.0,8.03,11.07
"2024-04-11 15:01:06",15.91,1810.0,8.03,11.07
"2024-04-11 16:00:28",16.0,1809.0,8.07,11.129999
"2024-04-11 16:01:06",16.0,1809.0,8.07,11.129999
"2024-04-11 17:00:28",15.9,1810.0,8.099999,11.269999
"2024-04-11 17:01:02",15.9,1810.0,8.099999,11.269999
"2024-04-11 18:00:28",16.009998,1815.0,8.099999,11.129999
"2024-04-11 18:00:59",16.009998,1815.0,8.099999,11.129999
"2024-04-11 19:00:28",15.439999,1892.0,8.259999,10.33
"2024-04-11 19:01:00",15.439999,1892.0,8.259999,10.33
"2024-04-11 20:00:28",14.9,1882.0,8.4,10.179999
"2024-04-11 20:01:00",14.9,1882.0,8.4,10.179999
"2024-04-11 21:00:28",14.759998,1852.0,8.37,9.98
"2024-04-11 21:01:05",14.759998,1852.0,8.37,9.98
"2024-04-11 22:00:28",14.98,1834.0,8.24,9.719999
"2024-04-11 22:01:01",14.98,1834.0,8.24,9.719999
"2024-04-11 23:00:28",14.75,1774.0,8.169999,9.599999
"2024-04-11 23:01:01",14.75,1774.0,8.169999,9.599999
"2024-04-12 00:00:28",14.169998,1789.0,8.2,9.589999
"2024-04-12 00:01:06",14.169998,1789.0,8.2,9.589999
"2024-04-12 01:00:28",14.07,561.6,8.259999,9.45
"2024-04-12 01:01:01",14.07,561.6,8.259999,9.45
"2024-04-12 02:00:28",13.889999,23.8,8.12,9.5199995
"2024-04-12 02:01:00",13.889999,23.8,8.12,9.5199995
"2024-04-12 03:00:28",13.389999,5.2,8.009999,9.57
"2024-04-12 03:01:05",13.389999,5.2,8.009999,9.57
"2024-04-12 04:00:28",13.119999,6.0,7.839999,9.709999
"2024-04-12 04:01:09",13.119999,6.0,7.839999,9.709999
"2024-04-12 05:00:28",12.83,2.6999998,7.7699995,9.73
"2024-04-12 05:01:06",12.83,2.6999998,7.7699995,9.73
"2024-04-12 06:00:28",12.589998,2.1999998,7.7199993,10.419998
"2024-04-12 06:01:03",12.589998,2.1999998,7.7199993,10.419998
"2024-04-12 07:00:28",12.469999,2.3999999,7.6899996,10.15
"2024-04-12 07:01:01",12.469999,2.3999999,7.6899996,10.15
"2024-04-12 08:00:28",13.039999,2.3999999,7.7,10.359999
"2024-04-12 08:01:06",13.039999,2.3999999,7.7,10.359999
"2024-04-12 09:00:28",13.699999,4.1,7.95,10.24
"2024-04-12 09:01:01",13.699999,4.1,7.95,10.24
"2024-04-12 10:00:28",14.07,2.8,8.219999,10.139999
"2024-04-12 10:01:06",14.07,2.8,8.219999,10.139999
"2024-04-12 11:00:28",14.449999,3.1,8.25,10.08
"2024-04-12 11:00:58",14.449999,3.1,8.25,10.08
"2024-04-12 12:00:28",15.389999,4.2999997,8.24,9.839999
"2024-04-12 12:01:03",15.389999,4.2999997,8.24,9.839999
"2024-04-12 13:00:28",15.629999,5.5,8.209999,9.75
"2024-04-12 13:01:08",15.629999,5.5,8.209999,9.75
"2024-04-12 14:00:28",16.089998,6.8999996,7.799999,9.66
"2024-04-12 14:01:02",16.089998,6.8999996,7.799999,9.66
"2024-04-12 15:00:28",16.55,3.6999998,7.6399994,9.58
"2024-04-12 15:01:09",16.55,3.6999998,7.6399994,9.58
"2024-04-12 16:00:28",17.23,0.0,7.6799994,9.459999
"2024-04-12 16:00:56",17.23,0.0,7.6799994,9.459999
"2024-04-12 17:00:28",17.88,0.0,7.629999,9.33
"2024-04-12 17:01:04",17.88,0.0,7.629999,9.33
"2024-04-12 18:00:28",16.3,13.299999,8.089999,9.5199995
"2024-04-12 18:01:00",16.3,13.299999,8.089999,9.5199995
"2024-04-12 19:00:28",15.74,11.5,8.29,9.669999
"2024-04-12 19:00:59",15.74,11.5,8.29,9.669999
"2024-04-12 20:00:28",15.66,12.9,8.299999,9.709999
"2024-04-12 20:01:02",15.66,12.9,8.299999,9.709999
"2024-04-12 21:00:28",15.169998,12.5,8.24,9.809999
"2024-04-12 21:01:08",15.169998,12.5,8.24,9.809999
"2024-04-12 22:00:28",14.07,12.099999,8.24,10.07
"2024-04-12 22:01:01",14.07,12.099999,8.24,10.07
"2024-04-12 23:00:28",13.539999,8.7,8.28,10.19
"2024-04-12 23:01:00",13.539999,8.7,8.28,10.19
"2024-04-13 00:00:28",13.57,9.9,8.219999,10.179999
"2024-04-13 00:01:00",13.57,9.9,8.219999,10.179999
"2024-04-13 01:00:28",13.66,4.0,8.259999,10.15
"2024-04-13 01:00:59",13.66,4.0,8.259999,10.15
"2024-04-13 02:00:28",13.359999,9.799999,8.28,10.25
"2024-04-13 02:01:04",13.359999,9.799999,8.28,10.25
"2024-04-13 03:00:28",13.07,3.8999996,8.28,10.289999
"2024-04-13 03:00:59",13.07,3.8999996,8.28,10.289999
