data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",14.9,1022.0,7.9399996,9.49
"2024-04-11 12:01:01",14.9,1022.0,7.9399996,9.49
"2024-04-11 13:00:28",15.059999,1024.0,8.009999,9.44
"2024-04-11 13:01:01",15.059999,1024.0,8.009999,9.44
"2024-04-11 14:00:28",15.209999,1024.0,8.0199995,9.959999
"2024-04-11 14:00:59",15.209999,1024.0,8.0199995,9.959999
"2024-04-11 15:00:28",15.259998,3.3999996,8.0199995,9.879999
"2024-04-11 15:01:07",15.259998,3.3999996,8.0199995,9.879999
"2024-04-11 16:00:28",13.969999,3.8999996,8.29,10.12
"2024-04-11 16:01:00",13.969999,3.8999996,8.29,10.12
"2024-04-11 17:00:28",13.949999,3.7999997,8.28,10.11
"2024-04-11 17:01:03",13.949999,3.7999997,8.28,10.11
"2024-04-11 18:00:28",14.16,3.8999996,8.28,10.07
"2024-04-11 18:00:57",14.16,3.8999996,8.28,10.07
"2024-04-11 19:00:28",14.08,4.2999997,8.33,10.07
"2024-04-11 19:00:59",14.08,4.2999997,8.33,10.07
"2024-04-11 20:00:28",13.639999,4.6,8.349999,10.179999
"2024-04-11 20:01:00",13.639999,4.6,8.349999,10.179999
"2024-04-11 21:00:28",12.639999,4.8999996,8.44,10.419998
"2024-04-11 21:01:00",12.639999,4.8999996,8.44,10.419998
"2024-04-11 22:00:28",12.389999,4.8999996,8.379999,10.509998
"2024-04-11 22:01:02",12.389999,4.8999996,8.379999,10.509998
"2024-04-11 23:00:28",12.58,4.7,8.339999,10.5
"2024-04-11 23:01:04",12.58,4.7,8.339999,10.5
"2024-04-12 00:00:28",13.66,4.7,8.24,10.25
"2024-04-12 00:01:02",13.66,4.7,8.24,10.25
"2024-04-12 01:00:28",15.199999,2.6999998,8.0,9.929999
"2024-04-12 01:01:01",15.199999,2.6999998,8.0,9.929999
"2024-04-12 02:00:28",15.299999,4.2,7.99,9.889999
"2024-04-12 02:01:00",15.299999,4.2,7.99,9.889999
"2024-04-12 03:00:28",15.33,833.6,7.9699993,9.86
"2024-04-12 03:01:00",15.33,833.6,7.9699993,9.86
"2024-04-12 04:00:28",15.299999,1012.0,7.95,9.87
"2024-04-12 04:00:59",15.299999,1012.0,7.95,9.87
"2024-04-12 05:00:28",15.25,1020.0,7.9299994,9.839999
"2024-04-12 05:01:02",15.25,1020.0,7.9299994,9.839999
"2024-04-12 06:00:28",15.16,1028.0,7.919999,9.629999
"2024-04-12 06:00:57",15.16,1028.0,7.919999,9.629999
"2024-04-12 07:00:28",15.08,1037.0,7.9299994,9.639999
"2024-04-12 07:01:01",15.08,1037.0,7.9299994,9.639999
"2024-04-12 08:00:28",15.029999,3.3999996,7.9399996,9.9
"2024-04-12 08:00:59",15.029999,3.3999996,7.9399996,9.9
"2024-04-12 09:00:28",14.969999,2.8999999,7.959999,9.91
"2024-04-12 09:00:58",14.969999,2.8999999,7.959999,9.91
"2024-04-12 10:00:28",14.49,3.6,8.33,10.0199995
"2024-04-12 10:01:01",14.49,3.6,8.33,10.0199995
"2024-04-12 11:00:28",15.219999,3.7999997,8.089999,9.849999
"2024-04-12 11:01:16",15.219999,3.7999997,8.089999,9.849999
"2024-04-12 12:00:28",15.429998,3.6,8.15,9.79
"2024-04-12 12:00:59",15.429998,3.6,8.15,9.79
"2024-04-12 13:00:28",15.65,3.5,8.28,9.74
