data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",11.089998,2.1999998,8.37,11.039999
"2024-04-11 12:01:17",11.089998,2.1999998,8.37,11.039999
"2024-04-11 13:00:28",11.949999,2.3999999,8.459999,10.789999
"2024-04-11 13:01:13",11.949999,2.3999999,8.459999,10.789999
"2024-04-11 14:00:28",12.529999,3.0,8.53,10.669998
"2024-04-11 14:01:07",12.529999,3.0,8.53,10.669998
"2024-04-11 15:00:28",12.82,3.5,8.559999,10.599998
"2024-04-11 15:01:09",12.82,3.5,8.559999,10.599998
"2024-04-11 16:00:28",12.75,4.5,8.589999,10.619999
"2024-04-11 16:01:08",12.75,4.5,8.589999,10.619999
"2024-04-11 17:00:28",12.82,4.7999997,8.57,10.599998
"2024-04-11 17:01:16",12.82,4.7999997,8.57,10.599998
"2024-04-11 18:00:28",12.889999,6.0,8.62,10.589998
"2024-04-11 18:01:07",12.889999,6.0,8.62,10.589998
"2024-04-11 19:00:28",13.309999,7.2,8.599999,10.469999
"2024-04-11 19:01:04",13.309999,7.2,8.599999,10.469999
"2024-04-11 19:04:10",13.309999,7.2,8.599999,10.469999
"2024-04-11 20:00:28",13.139999,7.5999994,8.53,10.529999
"2024-04-11 20:01:08",13.139999,7.5999994,8.53,10.529999
"2024-04-11 21:00:28",12.15,8.0,8.599999,10.789999
"2024-04-11 21:01:12",12.15,8.0,8.599999,10.789999
"2024-04-11 22:00:28",11.279999,7.7,8.629999,11.029999
"2024-04-11 22:01:04",11.279999,7.7,8.629999,11.029999
"2024-04-11 23:00:28",11.219999,7.5,8.549999,11.039999
"2024-04-11 23:01:09",11.219999,7.5,8.549999,11.039999
"2024-04-12 00:00:28",11.33,6.799999,8.53,11.009998
"2024-04-12 00:01:07",11.33,6.799999,8.53,11.009998
"2024-04-12 01:00:28",11.449999,6.5999994,8.5,10.98
"2024-04-12 01:01:04",11.449999,6.5999994,8.5,10.98
"2024-04-12 02:00:28",11.539999,6.2,8.5,10.949999
"2024-04-12 02:01:05",11.539999,6.2,8.5,10.949999
"2024-04-12 03:00:28",11.439999,6.3999996,8.5,10.959999
"2024-04-12 03:01:10",11.439999,6.3999996,8.5,10.959999
"2024-04-12 04:00:28",11.309999,6.1,8.509999,11.0
"2024-04-12 04:00:58",11.309999,6.1,8.509999,11.0
"2024-04-12 05:00:28",11.359999,6.5,8.5,10.969999
"2024-04-12 05:01:13",11.359999,6.5,8.5,10.969999
