data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-03-25 15:00:00",9.1,2157.7,7.31,9.54
"2024-03-25 16:00:00",9.2,2308.7,7.31,9.5
"2024-03-25 17:00:00",9.2,2435.7,7.31,9.49
"2024-03-25 18:00:00",9.2,2518.7,7.31,9.46
"2024-03-25 19:00:00",9.2,2599.7,7.31,9.51
"2024-03-25 20:00:00",9.2,2633.5,7.3,9.56
"2024-03-25 21:00:00",9.2,2589.9,7.3,9.59
"2024-03-25 22:00:00",9.1,2569.6,7.3,9.54
"2024-03-25 23:00:00",9.1,2510.6,7.3,9.66
"2024-03-26 00:00:00",9.1,2475.1,7.29,9.69
"2024-03-26 01:00:00",9.1,2450.6,7.29,9.67
"2024-03-26 02:00:00",9.1,2384.2,7.29,9.68
"2024-03-26 03:00:00",9.1,2275.4,7.28,9.67
"2024-03-26 04:00:00",9.0,2227.4,7.28,9.56
"2024-03-26 05:00:00",9.0,2153.0,7.27,9.49
"2024-03-26 06:00:00",9.0,2088.7,7.27,9.46
"2024-03-26 07:00:00",8.9,2079.9,7.27,9.34
"2024-03-26 08:00:00",8.9,2110.6,7.27,9.4
"2024-03-26 09:00:00",8.9,2170.5,7.28,9.4
"2024-03-26 10:00:00",8.9,2247.6,7.28,9.38
"2024-03-26 11:00:00",8.9,2336.2,7.28,9.35
"2024-03-26 12:00:00",9.0,2439.2,7.29,9.35
"2024-03-26 13:00:00",9.0,2548.6,7.29,9.33
"2024-03-26 14:00:00",9.2,2609.2,7.29,9.35
"2024-03-26 15:00:00",9.3,2674.7,7.29,9.44
"2024-03-26 16:00:00",9.3,2717.1,7.3,9.42
"2024-03-26 17:00:00",9.3,2740.3,7.31,9.45
"2024-03-26 18:00:00",9.4,2750.7,7.31,9.53
"2024-03-26 19:00:00",9.4,2742.2,7.31,9.52
"2024-03-26 20:00:00",9.4,2732.6,7.32,9.62
"2024-03-26 21:00:00",9.4,2764.6,7.31,9.59
"2024-03-26 22:00:00",9.4,2769.7,7.31,9.66
"2024-03-26 23:00:00",9.4,2762.9,7.32,9.67
"2024-03-27 00:00:00",9.4,2735.4,7.32,9.67
"2024-03-27 01:00:00",9.3,2682.1,7.31,9.61
"2024-03-27 02:00:00",9.2,2570.7,7.31,9.56
"2024-03-27 03:00:00",9.2,2507.9,7.31,9.52
"2024-03-27 04:00:00",9.2,2336.4,7.31,9.44
"2024-03-27 05:00:00",9.2,2268.0,7.31,9.31
"2024-03-27 06:00:00",9.1,2261.8,7.31,9.26
"2024-03-27 07:00:00",9.1,2252.1,7.31,9.18
"2024-03-27 08:00:00",9.0,2279.4,7.3,9.13
"2024-03-27 09:00:00",9.0,2302.9,7.29,9.06
"2024-03-27 10:00:00",9.1,2391.6,7.29,8.98
"2024-03-27 11:00:00",9.1,2428.4,7.29,9.02
"2024-03-27 12:00:00",9.2,2427.2,7.29,9.08
"2024-03-27 13:00:00",9.3,2542.0,7.3,9.09
"2024-03-27 14:00:00",9.5,2626.5,7.31,9.16
"2024-03-27 15:00:00",9.5,2635.9,7.32,9.19
"2024-03-27 16:00:00",9.6,2619.4,7.32,9.1
"2024-03-27 17:00:00",9.6,2648.2,7.32,9.21
"2024-03-27 18:00:00",9.7,2532.8,7.32,9.3
"2024-03-27 19:00:00",9.7,2552.2,7.32,9.22
"2024-03-27 20:00:00",9.7,2528.0,7.32,9.23
"2024-03-27 21:00:00",9.7,2450.5,7.32,9.29
"2024-03-27 22:00:00",9.7,2340.3,7.32,9.4
"2024-03-27 23:00:00",9.7,2252.3,7.33,9.44
"2024-03-28 00:00:00",9.7,2155.9,7.33,9.49
"2024-03-28 01:00:00",9.6,2052.9,7.32,9.44
"2024-03-28 02:00:00",9.7,2016.0,7.32,9.56
"2024-03-28 03:00:00",9.7,1951.2,7.32,9.62
"2024-03-28 04:00:00",9.7,1919.3,7.32,9.55
"2024-03-28 05:00:00",9.7,1895.2,7.32,9.57
"2024-03-28 06:00:00",9.7,1875.5,7.32,9.44
"2024-03-28 07:00:00",9.7,1914.1,7.32,9.41
"2024-03-28 08:00:00",9.6,1951.5,7.32,9.38
"2024-03-28 09:00:00",9.7,1963.7,7.32,9.24
"2024-03-28 10:00:00",9.7,1984.2,7.32,9.34
