data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.029999,872.69995,8.11,9.389999
"2024-04-11 12:01:19",15.029999,872.69995,8.11,9.389999
"2024-04-11 13:00:28",15.289999,872.2999,8.12,9.5199995
"2024-04-11 13:01:11",15.289999,872.2999,8.12,9.5199995
"2024-04-11 14:00:28",15.509998,872.19995,8.12,9.559999
"2024-04-11 14:01:09",15.509998,872.19995,8.12,9.559999
"2024-04-11 15:00:28",15.719999,871.2999,8.12,9.66
"2024-04-11 15:01:13",15.719999,871.2999,8.12,9.66
"2024-04-11 16:00:28",15.879999,870.8999,8.129999,9.73
"2024-04-11 16:01:10",15.879999,870.8999,8.129999,9.73
"2024-04-11 17:00:28",15.949999,870.69995,8.11,9.679999
"2024-04-11 17:01:15",15.949999,870.69995,8.11,9.679999
"2024-04-11 18:00:28",15.959999,869.7999,8.12,9.669999
"2024-04-11 18:01:14",15.959999,869.7999,8.12,9.669999
"2024-04-11 19:00:28",15.879999,869.19995,8.099999,9.54
"2024-04-11 19:01:06",15.879999,869.19995,8.099999,9.54
"2024-04-11 20:00:28",15.809999,868.5,8.089999,9.48
"2024-04-11 20:01:15",15.809999,868.5,8.089999,9.48
"2024-04-11 21:00:28",15.74,868.1,8.099999,9.49
"2024-04-11 21:01:07",15.74,868.1,8.099999,9.49
"2024-04-11 22:00:28",15.679998,867.7999,8.08,9.379999
"2024-04-11 22:01:14",15.679998,867.7999,8.08,9.379999
"2024-04-11 23:00:28",15.639999,867.69995,8.07,9.29
"2024-04-11 23:01:13",15.639999,867.69995,8.07,9.29
"2024-04-12 00:00:28",15.609999,868.2999,8.07,9.25
"2024-04-12 00:01:17",15.609999,868.2999,8.07,9.25
"2024-04-12 01:00:28",15.589998,869.0,8.059999,9.219999
"2024-04-12 01:01:02",15.589998,869.0,8.059999,9.219999
"2024-04-12 02:00:28",15.57,870.1,8.059999,9.16
"2024-04-12 02:01:15",15.57,870.1,8.059999,9.16
"2024-04-12 03:00:28",15.529999,872.1,8.059999,9.11
"2024-04-12 03:01:03",15.529999,872.1,8.059999,9.11
"2024-04-12 04:00:28",15.48,874.0,8.049999,9.059999
"2024-04-12 04:01:09",15.48,874.0,8.049999,9.059999
"2024-04-12 05:00:28",15.419998,875.6,8.049999,8.95
"2024-04-12 05:01:16",15.419998,875.6,8.049999,8.95
"2024-04-12 06:00:28",15.359999,878.69995,8.04,8.87
"2024-04-12 06:01:04",15.359999,878.69995,8.04,8.87
"2024-04-12 07:00:28",15.289999,881.7999,8.049999,8.87
"2024-04-12 07:01:08",15.289999,881.7999,8.049999,8.87
"2024-04-12 08:00:28",15.269999,884.5,8.049999,8.83
"2024-04-12 08:01:07",15.269999,884.5,8.049999,8.83
"2024-04-12 09:00:28",15.299999,887.5,8.059999,8.959999
"2024-04-12 09:01:16",15.299999,887.5,8.059999,8.959999
"2024-04-12 10:00:28",15.389999,889.8999,8.059999,8.98
"2024-04-12 10:01:06",15.389999,889.8999,8.059999,8.98
"2024-04-12 11:00:28",15.509998,892.19995,8.059999,8.99
"2024-04-12 11:01:16",15.509998,892.19995,8.059999,8.99
"2024-04-12 12:00:28",15.629999,893.5,8.08,9.19
"2024-04-12 12:01:11",15.629999,893.5,8.08,9.19
"2024-04-12 13:00:28",15.799999,895.19995,8.099999,9.28
"2024-04-12 13:01:03",15.799999,895.19995,8.099999,9.28
"2024-04-12 14:00:28",16.08,896.2999,8.099999,9.379999
"2024-04-12 14:01:11",16.08,896.2999,8.099999,9.379999
"2024-04-12 15:00:28",16.289999,896.1,8.11,9.49
"2024-04-12 15:01:11",16.289999,896.1,8.11,9.49
"2024-04-12 16:00:28",16.419998,895.7999,8.12,9.5199995
"2024-04-12 16:01:13",16.419998,895.7999,8.12,9.5199995
"2024-04-12 17:00:28",16.509998,895.1,8.12,9.599999
"2024-04-12 17:01:15",16.509998,895.1,8.12,9.599999
"2024-04-12 18:00:28",16.529999,894.1,8.129999,9.549999
"2024-04-12 18:01:12",16.529999,894.1,8.129999,9.549999
