data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.539999,884.0,7.99,9.48
"2024-04-11 12:01:18",15.539999,884.0,7.99,9.48
"2024-04-11 13:00:28",15.639999,889.2999,8.0,9.54
"2024-04-11 13:00:56",15.639999,889.2999,8.0,9.54
"2024-04-11 14:00:28",15.74,889.0,8.0199995,9.83
"2024-04-11 14:01:07",15.74,889.0,8.0199995,9.83
"2024-04-11 15:00:28",15.809999,891.3999,8.04,9.79
"2024-04-11 15:01:07",15.809999,891.3999,8.04,9.79
"2024-04-11 16:00:28",15.849998,893.69995,8.04,9.809999
"2024-04-11 16:01:10",15.849998,893.69995,8.04,9.809999
"2024-04-11 17:00:28",15.869999,896.0,8.059999,9.809999
"2024-04-11 17:01:05",15.869999,896.0,8.059999,9.809999
"2024-04-11 18:00:28",15.839998,898.3999,8.08,9.879999
"2024-04-11 18:01:05",15.839998,898.3999,8.08,9.879999
"2024-04-11 19:00:28",15.809999,900.6,8.07,9.719999
"2024-04-11 19:01:05",15.809999,900.6,8.07,9.719999
"2024-04-11 20:00:28",15.779999,902.7999,8.049999,9.889999
"2024-04-11 20:01:07",15.779999,902.7999,8.049999,9.889999
"2024-04-11 21:00:28",15.799999,904.6,8.04,9.839999
"2024-04-11 21:01:09",15.799999,904.6,8.04,9.839999
"2024-04-11 22:00:28",15.789999,905.7999,8.0199995,9.709999
"2024-04-11 22:01:03",15.789999,905.7999,8.0199995,9.709999
"2024-04-11 23:00:28",15.769999,908.3999,8.04,9.74
"2024-04-11 23:01:04",15.769999,908.3999,8.04,9.74
"2024-04-12 00:00:28",15.74,910.69995,8.009999,9.669999
"2024-04-12 00:01:08",15.74,910.69995,8.009999,9.669999
"2024-04-12 01:00:28",15.689999,912.8999,7.99,9.69
"2024-04-12 01:01:07",15.689999,912.8999,7.99,9.69
"2024-04-12 02:00:28",15.669998,914.69995,7.99,9.58
"2024-04-12 02:01:10",15.669998,914.69995,7.99,9.58
"2024-04-12 03:00:28",15.609999,916.19995,7.9699993,9.469999
"2024-04-12 03:01:05",15.609999,916.19995,7.9699993,9.469999
"2024-04-12 04:00:28",15.529999,918.1,7.959999,9.349999
"2024-04-12 04:01:02",15.529999,918.1,7.959999,9.349999
"2024-04-12 05:00:28",15.469999,919.69995,7.9699993,9.32
"2024-04-12 05:01:16",15.469999,919.69995,7.9699993,9.32
"2024-04-12 06:00:28",15.369999,921.0,7.95,9.509999
"2024-04-12 06:00:54",15.369999,921.0,7.95,9.509999
"2024-04-12 07:00:28",15.289999,922.69995,7.9299994,9.54
"2024-04-12 07:01:08",15.289999,922.69995,7.9299994,9.54
"2024-04-12 08:00:28",15.279999,925.0,7.959999,9.599999
"2024-04-12 08:01:08",15.279999,925.0,7.959999,9.599999
"2024-04-12 09:00:28",15.33,927.3999,7.9799995,9.799999
"2024-04-12 09:01:04",15.33,927.3999,7.9799995,9.799999
"2024-04-12 10:00:28",15.419998,917.8999,7.99,9.87
"2024-04-12 10:01:11",15.419998,917.8999,7.99,9.87
"2024-04-12 11:00:28",15.509998,931.8999,8.0199995,9.78
"2024-04-12 11:00:47",15.509998,931.8999,8.0199995,9.78
"2024-04-12 12:00:28",15.629999,934.2999,8.009999,10.049999
"2024-04-12 12:01:02",15.629999,934.2999,8.009999,10.049999
"2024-04-12 13:00:28",15.639999,936.8999,8.049999,10.08
"2024-04-12 13:01:11",15.639999,936.8999,8.049999,10.08
"2024-04-12 14:00:28",15.809999,938.69995,8.08,10.15
"2024-04-12 14:01:02",15.809999,938.69995,8.08,10.15
"2024-04-12 15:00:28",15.889999,940.3999,8.089999,10.209999
"2024-04-12 15:01:09",15.889999,940.3999,8.089999,10.209999
"2024-04-12 16:00:28",15.91,942.2999,8.12,10.179999
"2024-04-12 16:00:51",15.91,942.2999,8.12,10.179999
"2024-04-12 17:00:28",15.939999,946.1,8.11,10.19
"2024-04-12 17:01:07",15.939999,946.1,8.11,10.19
"2024-04-12 18:00:28",15.9,948.1,8.12,10.129999
"2024-04-12 18:01:11",15.9,948.1,8.12,10.129999
"2024-04-12 19:00:28",15.869999,950.5,8.089999,9.889999
"2024-04-12 19:01:05",15.869999,950.5,8.089999,9.889999
"2024-04-12 20:00:28",15.83,952.8999,8.059999,9.929999
