data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",11.889999,30.099998,8.11,10.529999
"2024-04-02 14:00:28",12.429998,35.6,8.099999,10.389999
"2024-04-02 15:00:28",13.039999,41.5,8.08,10.23
"2024-04-02 16:00:28",13.91,49.5,8.099999,10.009999
"2024-04-02 17:00:28",12.559999,2002.0,8.08,9.74
"2024-04-02 18:00:28",12.539999,1920.0,8.08,9.809999
"2024-04-02 19:00:28",12.419998,1881.0,8.049999,9.599999
"2024-04-02 20:00:28",12.119999,1823.0,7.99,9.41
"2024-04-02 21:00:28",11.99,1741.0,7.959999,9.419999
"2024-04-02 22:00:28",11.789999,1157.0,7.919999,9.44
"2024-04-02 23:00:28",11.709999,1124.0,7.91,9.45
"2024-04-03 00:00:28",11.629999,1019.0,7.8999996,9.419999
"2024-04-03 01:00:28",11.509998,1011.0,7.91,9.389999
"2024-04-03 02:00:28",11.379999,1012.0,7.919999,9.49
"2024-04-03 03:00:28",11.259998,1015.0,7.919999,9.53
"2024-04-03 04:00:28",11.16,1020.0,7.9299994,9.549999
"2024-04-03 05:00:28",11.039999,1026.0,7.9299994,9.5
"2024-04-03 06:00:28",10.869999,1033.0,7.9299994,9.57
"2024-04-03 07:00:28",10.719999,1040.0,7.9399996,9.629999
"2024-04-03 08:00:28",10.66,1045.0,7.95,9.679999
"2024-04-03 09:00:28",10.699999,1052.0,7.9799995,9.87
"2024-04-03 10:00:28",10.91,1055.0,8.0,10.04
"2024-04-03 11:00:28",11.199999,1061.0,8.03,10.179999
"2024-04-03 12:00:28",11.599998,1064.0,8.049999,10.339998
"2024-04-03 13:00:28",11.99,1068.0,8.08,10.419998
"2024-04-03 14:00:28",12.209999,1072.0,8.099999,10.469999
"2024-04-03 15:00:28",12.309999,1079.0,8.11,10.449999
"2024-04-03 16:00:28",12.349998,1083.0,8.099999,10.349998
"2024-04-03 17:00:28",12.41,1087.0,8.089999,10.23
"2024-04-03 18:00:28",12.4,1087.0,8.059999,10.03
"2024-04-03 19:00:28",12.439999,1089.0,8.0199995,9.73
"2024-04-03 20:00:28",12.41,1088.0,8.009999,9.679999
"2024-04-03 21:00:28",12.419998,1083.0,7.99,9.549999
"2024-04-03 22:00:28",12.41,1050.0,7.9799995,9.559999
"2024-04-03 23:00:28",12.369999,1036.0,7.9799995,9.54
"2024-04-04 00:00:28",12.349998,1035.0,7.9699993,9.49
"2024-04-04 01:00:28",12.32,1067.0,7.95,9.349999
"2024-04-04 02:00:28",12.219999,1080.0,7.9299994,9.309999
"2024-04-04 03:00:28",12.089998,1083.0,7.9299994,9.33
"2024-04-04 04:00:28",11.879999,1088.0,7.9299994,9.339999
"2024-04-04 05:00:28",11.679998,1093.0,7.9299994,9.36
"2024-04-04 06:00:28",11.49,1097.0,7.919999,9.33
"2024-04-04 07:00:28",11.32,1102.0,7.8999996,9.219999
"2024-04-04 08:00:28",11.169998,1096.0,7.9299994,9.5
"2024-04-04 09:00:28",11.219999,1093.0,7.95,9.709999
"2024-04-04 10:00:28",11.469999,1094.0,7.99,9.91
"2024-04-04 11:00:28",11.669998,1098.0,8.0199995,10.139999
"2024-04-04 12:00:28",11.98,1100.0,8.04,10.23
"2024-04-04 13:00:28",12.279999,1101.0,8.059999,10.299999
"2024-04-04 14:00:28",12.589998,1102.0,8.089999,10.279999
"2024-04-04 15:00:28",12.969999,1101.0,8.11,10.19
"2024-04-04 16:00:28",13.33,1101.0,8.12,10.0
"2024-04-04 17:00:28",13.4,1100.0,8.129999,9.95
"2024-04-04 18:00:28",13.349998,1096.0,8.08,9.74
"2024-04-04 19:00:28",13.25,1096.0,7.99,9.2699995
"2024-04-04 20:00:28",13.119999,1083.0,7.959999,9.309999
"2024-04-04 21:00:28",13.07,1074.0,7.919999,9.29
"2024-04-04 22:00:28",13.059999,1067.0,7.8999996,9.15
"2024-04-04 23:00:28",12.98,1069.0,7.879999,8.879999
"2024-04-05 00:00:28",12.879999,1207.0,7.8599997,8.839999
"2024-04-05 01:00:28",12.779999,1528.0,7.879999,8.16
"2024-04-05 02:00:28",12.679998,1780.0,7.919999,7.74
"2024-04-05 03:00:28",12.539999,1811.0,7.919999,8.419999
"2024-04-05 04:00:28",12.4,1798.0,7.9399996,9.009999
"2024-04-05 05:00:28",12.219999,1805.0,7.919999,8.86
"2024-04-05 06:00:28",12.019999,1806.0,7.919999,8.9
"2024-04-05 07:00:28",11.839998,1803.0,7.91,8.669999
"2024-04-05 08:00:28",11.83,1806.0,7.9399996,8.839999
"2024-04-05 09:00:28",11.869999,1815.0,7.959999,9.37
"2024-04-05 10:00:28",12.119999,1841.0,8.0,9.5199995
"2024-04-05 11:00:28",12.449999,1893.0,8.07,9.509999
"2024-04-05 12:00:28",12.869999,1939.0,8.129999,9.549999
"2024-04-05 13:00:28",13.349998,1779.0,8.389999,9.5
"2024-04-05 14:00:28",13.919998,1890.0,8.469999,9.629999
"2024-04-05 15:00:28",14.379999,1435.0,8.65,9.44
"2024-04-05 16:00:28",14.91,963.2999,8.759999,9.629999
"2024-04-05 17:00:28",14.919998,1353.0,8.809999,9.48
"2024-04-05 18:00:28",14.379999,1699.0,8.79,9.389999
"2024-04-05 19:00:28",14.25,1700.0,8.74,9.08
"2024-04-05 20:00:28",13.789999,1752.0,8.62,8.86
"2024-04-05 21:00:28",13.66,1796.0,8.309999,9.03
"2024-04-05 22:00:28",13.74,1257.0,8.5,9.169999
"2024-04-05 23:00:28",13.629999,214.59998,8.57,9.61
"2024-04-06 00:00:28",13.57,6.2,8.53,10.179999
"2024-04-06 01:00:28",13.559999,5.2999997,8.48,10.169999
"2024-04-06 02:00:28",13.559999,5.5,8.469999,10.2
"2024-04-06 03:00:28",13.509998,5.7999997,8.5,10.19
"2024-04-06 04:00:28",13.719999,5.7,8.509999,10.139999
"2024-04-06 05:00:28",13.769999,7.3999996,8.559999,10.139999
"2024-04-06 06:00:28",13.509998,7.8999996,8.639999,10.2
"2024-04-06 07:00:28",13.209999,5.6,8.65,10.299999
"2024-04-06 08:00:28",13.099998,5.2999997,8.589999,10.33
"2024-04-06 09:00:28",13.289999,5.3999996,8.58,10.299999
"2024-04-06 10:00:28",13.75,5.0,8.599999,10.179999
"2024-04-06 11:00:28",14.24,5.2999997,8.66,10.07
"2024-04-06 12:00:28",15.009998,5.5,8.709999,9.889999
"2024-04-06 13:00:28",15.709999,5.3999996,8.7699995,9.73
"2024-04-06 14:00:28",16.529999,5.8999996,8.809999,9.54
"2024-04-06 15:00:28",17.22,6.5,8.849999,9.4
"2024-04-06 16:00:28",18.339998,6.7,8.879999,9.179999
"2024-04-06 17:00:28",20.619999,6.8999996,8.879999,8.759999
"2024-04-06 18:00:28",21.82,6.2,8.74,8.54
"2024-04-06 19:00:28",20.649998,5.3999996,8.44,8.74
"2024-04-06 20:00:28",18.21,5.6,8.589999,9.19
"2024-04-06 21:00:28",16.359999,6.1,8.639999,9.57
"2024-04-06 22:00:28",15.109999,6.799999,8.719999,9.87
"2024-04-06 23:00:28",14.289999,7.0999994,8.709999,10.059999
"2024-04-07 00:00:28",13.719999,6.0,8.629999,10.219999
"2024-04-07 01:00:28",13.309999,6.8999996,8.57,10.309999
"2024-04-07 02:00:28",13.0,5.6,8.48,10.4
"2024-04-07 03:00:28",12.759998,5.6,8.429999,10.449999
"2024-04-07 04:00:28",12.449999,5.5,8.419999,10.519999
"2024-04-07 05:00:28",12.16,5.2999997,8.41,10.599998
"2024-04-07 06:00:28",11.9,5.1,8.4,10.65
"2024-04-07 07:00:28",11.74,5.0,8.36,10.709999
"2024-04-07 08:00:28",12.08,5.0,8.32,10.629999
"2024-04-07 09:00:28",12.789999,5.0,8.299999,10.439999
"2024-04-07 10:00:28",13.82,4.8999996,8.33,10.19
"2024-04-07 11:00:28",14.809999,5.1,8.389999,9.95
"2024-04-07 12:00:28",16.009998,5.3999996,8.469999,9.669999
"2024-04-07 13:00:28",17.64,5.7999997,8.57,9.33
"2024-04-07 14:00:28",19.759998,5.8999996,8.69,8.919999
"2024-04-07 15:00:28",21.719997,6.1,8.53,8.57
"2024-04-07 16:00:28",23.5,11.2,8.469999,8.25
"2024-04-07 17:00:28",24.679996,15.5,8.379999,8.08
"2024-04-07 18:00:28",25.129997,18.5,8.219999,8.0
"2024-04-07 19:00:28",24.509998,20.5,8.179999,8.11
"2024-04-07 20:00:28",21.439999,19.9,8.33,8.61
"2024-04-07 21:00:28",19.33,16.599998,8.509999,9.0
"2024-04-07 22:00:28",17.669998,15.299999,8.61,9.339999
"2024-04-07 23:00:28",16.46,18.5,8.65,9.599999
"2024-04-08 00:00:28",15.769999,19.4,8.679999,9.719999
"2024-04-08 01:00:28",15.369999,18.199999,8.639999,9.82
"2024-04-08 02:00:28",14.98,19.199999,8.629999,9.9
"2024-04-08 03:00:28",14.539999,19.0,8.589999,9.99
"2024-04-08 04:00:28",14.15,18.199999,8.53,10.08
"2024-04-08 05:00:28",14.059999,16.9,8.48,10.099999
"2024-04-08 06:00:28",13.969999,17.199999,8.48,10.129999
"2024-04-08 07:00:28",14.029999,16.599998,8.469999,10.12
"2024-04-08 08:00:28",14.419998,17.199999,8.44,10.03
"2024-04-08 09:00:28",15.25,16.5,8.459999,9.839999
"2024-04-08 10:00:28",16.23,16.0,8.5,9.61
"2024-04-08 11:00:28",17.179998,17.0,8.549999,9.41
"2024-04-08 12:00:28",18.0,17.699999,8.61,9.24
"2024-04-08 13:00:28",19.41,16.699999,8.65,8.98
"2024-04-08 14:00:28",21.029999,16.599998,8.74,8.679999
"2024-04-08 15:00:28",22.98,15.299999,8.69,8.339999
"2024-04-08 16:00:28",24.469997,12.299999,8.589999,8.11
"2024-04-08 17:00:28",25.8,11.0,8.41,7.8999996
"2024-04-08 18:00:28",25.019997,9.2,8.41,8.0199995
"2024-04-08 19:00:28",24.019997,10.4,8.419999,8.179999
"2024-04-08 20:00:28",21.0,9.5,8.429999,8.679999
"2024-04-08 21:00:28",18.57,9.5,8.549999,9.12
"2024-04-08 22:00:28",17.14,11.799999,8.61,9.4
"2024-04-08 23:00:28",16.029999,12.5,8.62,9.629999
"2024-04-09 00:00:28",15.219999,14.299999,8.639999,9.809999
"2024-04-09 01:00:28",14.519999,15.099998,8.61,9.959999
"2024-04-09 02:00:28",13.929998,15.4,8.589999,10.08
"2024-04-09 03:00:28",13.359999,15.299999,8.559999,10.219999
"2024-04-09 04:00:28",13.039999,15.0,8.54,10.299999
"2024-04-09 05:00:28",12.849998,15.099998,8.49,10.339998
"2024-04-09 06:00:28",12.459999,15.299999,8.45,10.439999
"2024-04-09 07:00:28",12.099998,15.599998,8.41,10.529999
"2024-04-09 08:00:28",12.559999,15.199999,8.349999,10.429998
"2024-04-09 09:00:28",13.91,15.0,8.299999,10.089999
"2024-04-09 10:00:28",15.439999,15.199999,8.28,9.759999
"2024-04-09 11:00:28",17.009998,15.299999,8.299999,9.41
"2024-04-09 12:00:28",18.539999,15.099998,8.32,9.12
"2024-04-09 13:00:28",21.289997,14.799999,8.29,8.62
"2024-04-09 14:00:28",23.699997,15.799999,8.45,8.19
"2024-04-09 15:00:28",25.519997,16.699999,8.49,7.919999
"2024-04-09 16:00:28",26.82,16.8,8.459999,7.7299995
"2024-04-09 17:00:28",28.099998,15.9,8.299999,7.549999
"2024-04-09 18:00:28",26.519997,20.099998,8.459999,7.7699995
"2024-04-09 19:00:28",23.599998,17.699999,8.549999,8.219999
"2024-04-09 20:00:28",21.14,15.299999,8.599999,8.639999
"2024-04-09 21:00:28",18.66,16.099998,8.669999,9.089999
"2024-04-09 22:00:28",16.91,18.5,8.639999,9.44
"2024-04-09 23:00:28",15.73,19.699999,8.639999,9.7
"2024-04-10 00:00:28",14.919998,22.0,8.69,9.879999
"2024-04-10 01:00:28",14.439999,21.5,8.669999,10.0
"2024-04-10 02:00:28",14.24,20.199999,8.629999,10.04
"2024-04-10 03:00:28",14.549999,17.8,8.58,9.99
"2024-04-10 04:00:28",14.709999,18.3,8.549999,9.959999
"2024-04-10 05:00:28",14.549999,18.4,8.549999,10.009999
"2024-04-10 06:00:28",14.019999,18.099998,8.599999,10.15
"2024-04-10 07:00:28",13.179998,18.5,8.66,10.349998
"2024-04-10 08:00:28",12.609999,19.699999,8.66,10.519999
"2024-04-10 09:00:28",12.119999,18.099998,8.669999,10.65
"2024-04-10 10:00:28",11.82,18.3,8.66,10.75
"2024-04-10 11:00:28",11.759998,16.8,8.65,10.779999
"2024-04-10 12:00:28",11.849998,17.4,8.61,10.769999
"2024-04-10 13:00:28",11.859999,17.3,8.57,10.769999
"2024-04-10 14:00:28",12.0,17.699999,8.549999,10.719999
"2024-04-10 15:00:28",12.0,17.8,8.54,10.73
