data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",12.279999,2.6,8.139999,10.589998
"2024-04-11 12:01:12",12.279999,2.6,8.139999,10.589998
"2024-04-11 13:00:28",12.629999,2.3999999,8.129999,10.509998
"2024-04-11 13:01:06",12.629999,2.3999999,8.129999,10.509998
"2024-04-11 14:00:28",13.5,2.8,8.19,10.279999
"2024-04-11 14:01:05",13.5,2.8,8.19,10.279999
"2024-04-11 15:00:28",15.609999,868.69995,7.9699993,9.4
"2024-04-11 15:01:05",15.609999,868.69995,7.9699993,9.4
"2024-04-11 16:00:28",15.889999,870.1,7.9399996,9.419999
"2024-04-11 16:01:04",15.889999,870.1,7.9399996,9.419999
"2024-04-11 17:00:28",16.019999,873.19995,7.95,9.459999
"2024-04-11 17:01:00",16.019999,873.19995,7.95,9.459999
"2024-04-11 18:00:28",16.06,876.6,7.9399996,9.379999
"2024-04-11 18:01:02",16.06,876.6,7.9399996,9.379999
"2024-04-11 19:00:28",16.08,880.5,7.9399996,9.379999
"2024-04-11 19:01:01",16.08,880.5,7.9399996,9.379999
"2024-04-11 20:00:28",16.05,883.7999,7.9299994,9.29
"2024-04-11 20:01:01",16.05,883.7999,7.9299994,9.29
"2024-04-11 21:00:28",15.98,886.8999,7.919999,9.169999
"2024-04-11 21:01:04",15.98,886.8999,7.919999,9.169999
"2024-04-11 22:00:28",15.9,890.0,7.91,9.059999
"2024-04-11 22:01:02",15.9,890.0,7.91,9.059999
"2024-04-11 23:00:28",15.82,893.19995,7.8999996,8.969999
"2024-04-11 23:01:04",15.82,893.19995,7.8999996,8.969999
"2024-04-12 00:00:28",15.719999,895.69995,7.879999,8.799999
"2024-04-12 00:01:02",15.719999,895.69995,7.879999,8.799999
"2024-04-12 01:00:28",15.619999,898.6,7.8599997,8.709999
"2024-04-12 01:01:02",15.619999,898.6,7.8599997,8.709999
"2024-04-12 02:00:28",15.529999,900.1,7.8499994,8.62
"2024-04-12 02:01:01",15.529999,900.1,7.8499994,8.62
"2024-04-12 03:00:28",15.439999,900.7999,7.83,8.49
"2024-04-12 03:00:59",15.439999,900.7999,7.83,8.49
"2024-04-12 04:00:28",15.33,900.2999,7.8199997,8.429999
"2024-04-12 04:00:57",15.33,900.2999,7.8199997,8.429999
"2024-04-12 05:00:28",15.219999,899.1,7.8099995,8.41
"2024-04-12 05:01:00",15.219999,899.1,7.8099995,8.41
"2024-04-12 06:00:28",15.139999,897.1,7.799999,8.339999
"2024-04-12 06:00:58",15.139999,897.1,7.799999,8.339999
"2024-04-12 07:00:28",15.07,895.19995,7.79,8.29
"2024-04-12 07:00:59",15.07,895.19995,7.79,8.29
"2024-04-12 08:00:28",15.099998,892.8999,7.799999,8.36
"2024-04-12 08:01:01",15.099998,892.8999,7.799999,8.36
"2024-04-12 09:00:28",15.16,891.0,7.799999,8.45
"2024-04-12 09:00:57",15.16,891.0,7.799999,8.45
"2024-04-12 10:00:28",15.289999,889.19995,7.8099995,8.57
"2024-04-12 10:01:12",15.289999,889.19995,7.8099995,8.57
"2024-04-12 11:00:28",15.49,887.19995,7.8099995,8.709999
"2024-04-12 11:00:45",15.49,887.19995,7.8099995,8.709999
"2024-04-12 12:00:28",15.679998,885.8999,7.8599997,8.86
"2024-04-12 12:01:01",15.679998,885.8999,7.8599997,8.86
"2024-04-12 13:00:28",15.849998,884.5,7.8599997,8.919999
"2024-04-12 13:01:10",15.849998,884.5,7.8599997,8.919999
"2024-04-12 14:00:28",16.099998,882.2999,7.879999,9.059999
"2024-04-12 14:01:02",16.099998,882.2999,7.879999,9.059999
"2024-04-12 15:00:28",16.289999,880.7999,7.8999996,9.19
"2024-04-12 15:01:10",16.289999,880.7999,7.8999996,9.19
"2024-04-12 16:00:28",16.5,878.5,7.919999,9.33
"2024-04-12 16:01:02",16.5,878.5,7.919999,9.33
"2024-04-12 17:00:28",16.58,875.3999,7.9299994,9.349999
"2024-04-12 17:01:06",16.58,875.3999,7.9299994,9.349999
"2024-04-12 18:00:28",16.58,872.7999,7.91,9.29
"2024-04-12 18:01:03",16.58,872.7999,7.91,9.29
"2024-04-12 19:00:28",16.539999,869.2999,7.91,9.2
"2024-04-12 19:01:03",16.539999,869.2999,7.91,9.2
"2024-04-12 20:00:28",16.4,866.3999,7.8899994,9.099999
"2024-04-12 20:01:05",16.4,866.3999,7.8899994,9.099999
"2024-04-12 21:00:28",16.25,864.3999,7.9799995,8.969999
"2024-04-12 21:00:59",16.25,864.3999,7.9799995,8.969999
"2024-04-12 22:00:28",16.089998,861.7999,8.04,8.87
"2024-04-12 22:01:03",16.089998,861.7999,8.04,8.87
"2024-04-12 23:00:28",15.99,863.6,7.8599997,8.91
"2024-04-12 23:01:00",15.99,863.6,7.8599997,8.91
"2024-04-13 00:00:28",15.889999,865.3999,7.8599997,8.79
"2024-04-13 00:01:07",15.889999,865.3999,7.8599997,8.79
"2024-04-13 01:00:28",15.83,870.0,7.8599997,8.73
"2024-04-13 01:01:08",15.83,870.0,7.8599997,8.73
"2024-04-13 02:00:28",15.759998,876.7999,7.839999,8.679999
"2024-04-13 02:00:52",15.759998,876.7999,7.839999,8.679999
"2024-04-13 03:00:28",15.65,884.69995,7.839999,8.65
"2024-04-13 03:01:02",15.65,884.69995,7.839999,8.65
"2024-04-13 04:00:28",15.58,891.2999,7.83,8.629999
"2024-04-13 04:01:02",15.58,891.2999,7.83,8.629999
"2024-04-13 05:00:28",15.509998,896.19995,7.83,8.559999
"2024-04-13 05:01:01",15.509998,896.19995,7.83,8.559999
"2024-04-13 06:00:28",15.449999,899.19995,7.839999,8.559999
"2024-04-13 06:01:04",15.449999,899.19995,7.839999,8.559999
"2024-04-13 07:00:28",15.419998,900.1,7.839999,8.5199995
"2024-04-13 07:01:03",15.419998,900.1,7.839999,8.5199995
"2024-04-13 08:00:28",15.41,900.1,7.8499994,8.58
"2024-04-13 08:01:09",15.41,900.1,7.8499994,8.58
"2024-04-13 09:00:28",15.449999,899.8999,7.879999,8.719999
"2024-04-13 09:01:01",15.449999,899.8999,7.879999,8.719999
"2024-04-13 10:00:28",15.57,899.3999,7.8999996,8.9
"2024-04-13 10:00:58",15.57,899.3999,7.8999996,8.9
"2024-04-13 11:00:28",15.639999,899.19995,7.91,9.059999
"2024-04-13 11:01:05",15.639999,899.19995,7.91,9.059999
"2024-04-13 12:00:28",15.959999,898.6,8.03,9.389999
"2024-04-13 12:01:00",15.959999,898.6,8.03,9.389999
"2024-04-13 13:00:28",16.14,898.19995,8.129999,9.58
"2024-04-13 13:01:02",16.14,898.19995,8.129999,9.58
"2024-04-13 14:00:28",16.39,471.5,8.309999,9.549999
"2024-04-13 14:00:59",16.39,471.5,8.309999,9.549999
"2024-04-13 15:00:28",16.55,1.8,8.589999,9.48
"2024-04-13 15:01:41",16.55,1.8,8.589999,9.48
"2024-04-13 16:00:28",16.97,2.1,8.629999,9.379999
"2024-04-13 16:01:04",16.97,2.1,8.629999,9.379999
"2024-04-13 17:00:28",16.759998,876.19995,6.419999,9.389999
"2024-04-13 17:00:58",16.759998,876.19995,6.419999,9.389999
"2024-04-13 18:00:28",16.72,894.0,8.37,9.469999
"2024-04-13 18:01:00",16.72,894.0,8.37,9.469999
"2024-04-13 19:00:28",16.599998,429.5,8.389999,9.45
"2024-04-13 19:01:01",16.599998,429.5,8.389999,9.45
"2024-04-13 20:00:28",16.39,3.8999996,8.66,9.509999
"2024-04-13 20:00:59",16.39,3.8999996,8.66,9.509999
"2024-04-13 21:00:28",15.359999,2.6999998,8.929999,9.73
"2024-04-13 21:00:59",15.359999,2.6999998,8.929999,9.73
"2024-04-13 22:00:28",14.359999,3.7999997,9.03,9.95
"2024-04-13 22:00:59",14.359999,3.7999997,9.03,9.95
"2024-04-13 23:00:28",13.639999,3.6,9.089999,10.099999
"2024-04-13 23:01:00",13.639999,3.6,9.089999,10.099999
"2024-04-14 00:00:28",12.929998,3.6,9.03,10.269999
"2024-04-14 00:00:56",12.929998,3.6,9.03,10.269999
"2024-04-14 01:00:28",12.529999,3.3999996,9.059999,10.349998
"2024-04-14 01:01:01",12.529999,3.3999996,9.059999,10.349998
"2024-04-14 02:00:28",12.119999,3.6999998,9.059999,10.459999
"2024-04-14 02:00:57",12.119999,3.6999998,9.059999,10.459999
"2024-04-14 03:00:28",11.65,3.5,9.099999,10.549999
"2024-04-14 03:00:57",11.65,3.5,9.099999,10.549999
"2024-04-14 04:00:28",11.279999,3.2999997,9.099999,10.629999
"2024-04-14 04:01:01",11.279999,3.2999997,9.099999,10.629999
"2024-04-14 05:00:28",11.309999,3.2999997,9.049999,10.629999
"2024-04-14 05:01:29",11.309999,3.2999997,9.049999,10.629999
"2024-04-14 06:00:28",11.49,3.1999998,8.78,10.609999
"2024-04-14 06:01:07",11.49,3.1999998,8.78,10.609999
"2024-04-14 07:00:28",12.75,3.2999997,8.49,10.309999
"2024-04-14 07:01:03",12.75,3.2999997,8.49,10.309999
"2024-04-14 08:00:28",15.099998,292.4,8.179999,9.639999
"2024-04-14 08:01:00",15.099998,292.4,8.179999,9.639999
"2024-04-14 09:00:28",15.509998,937.8999,8.0,9.059999
"2024-04-14 09:01:01",15.509998,937.8999,8.0,9.059999
"2024-04-14 10:00:28",15.709999,944.0,7.9299994,9.179999
"2024-04-14 10:00:54",15.709999,944.0,7.9299994,9.179999
"2024-04-14 11:00:28",15.919998,947.69995,7.95,9.28
"2024-04-14 11:01:05",15.919998,947.69995,7.95,9.28
"2024-04-14 12:00:28",16.06,950.69995,8.009999,9.419999
"2024-04-14 12:00:58",16.06,950.69995,8.009999,9.419999
"2024-04-14 13:00:28",16.15,953.8999,7.99,9.2699995
"2024-04-14 13:00:59",16.15,953.8999,7.99,9.2699995
"2024-04-14 14:00:28",16.24,956.8999,8.009999,9.4
"2024-04-14 14:00:58",16.24,956.8999,8.009999,9.4
"2024-04-14 15:00:28",16.339998,959.69995,8.03,9.509999
"2024-04-14 15:00:58",16.339998,959.69995,8.03,9.509999
