data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.16,2416.0,9.129999,19.24
"2024-04-11 12:01:18",15.16,2416.0,9.129999,19.24
"2024-04-11 13:00:28",15.059999,2423.0,9.0199995,16.929998
"2024-04-11 13:01:13",15.059999,2423.0,9.0199995,16.929998
"2024-04-11 14:00:28",16.189999,2411.0,9.07,17.74
"2024-04-11 14:01:15",16.189999,2411.0,9.07,17.74
"2024-04-11 15:00:28",16.49,2414.0,9.08,23.64
"2024-04-11 15:01:09",16.49,2414.0,9.08,23.64
"2024-04-11 16:00:28",16.24,2400.0,9.099999,19.779999
"2024-04-11 16:01:14",16.24,2400.0,9.099999,19.779999
"2024-04-11 17:00:28",16.47,2396.0,9.089999,20.699997
"2024-04-11 17:01:16",16.47,2396.0,9.089999,20.699997
"2024-04-11 18:00:28",16.99,2403.0,9.12,21.8
"2024-04-11 18:00:59",16.99,2403.0,9.12,21.8
"2024-04-11 19:00:28",17.199999,2406.0,9.0,21.939999
"2024-04-11 19:01:04",17.199999,2406.0,9.0,21.939999
"2024-04-11 20:00:28",16.919998,2387.0,9.099999,22.369999
"2024-04-11 20:01:09",16.919998,2387.0,9.099999,22.369999
"2024-04-11 21:00:28",16.49,2374.0,9.03,22.969997
"2024-04-11 21:01:06",16.49,2374.0,9.03,22.969997
"2024-04-11 22:00:28",16.32,2368.0,9.009999,23.109997
"2024-04-11 22:01:08",16.32,2368.0,9.009999,23.109997
"2024-04-11 23:00:28",16.089998,2372.0,8.799999,15.509998
"2024-04-11 23:01:13",16.089998,2372.0,8.799999,15.509998
"2024-04-12 00:00:28",15.689999,2371.0,8.799999,8.959999
"2024-04-12 00:01:05",15.689999,2371.0,8.799999,8.959999
"2024-04-12 01:00:28",15.359999,2371.0,8.669999,10.549999
"2024-04-12 01:01:12",15.359999,2371.0,8.669999,10.549999
"2024-04-12 02:00:28",15.089998,2373.0,8.74,13.469999
"2024-04-12 02:01:15",15.089998,2373.0,8.74,13.469999
"2024-04-12 03:00:28",14.98,2368.0,8.879999,17.64
"2024-04-12 03:01:04",14.98,2368.0,8.879999,17.64
"2024-04-12 04:00:28",14.9,2369.0,8.62,16.97
"2024-04-12 04:01:09",14.9,2369.0,8.62,16.97
"2024-04-12 05:00:28",14.639999,2367.0,8.74,14.029999
"2024-04-12 05:01:15",14.639999,2367.0,8.74,14.029999
"2024-04-12 06:00:28",14.48,2368.0,8.759999,13.689999
"2024-04-12 06:01:09",14.48,2368.0,8.759999,13.689999
"2024-04-12 07:00:28",14.259998,2368.0,8.839999,18.949999
"2024-04-12 07:01:10",14.259998,2368.0,8.839999,18.949999
"2024-04-12 08:00:28",14.209999,2373.0,8.809999,17.679998
"2024-04-12 08:01:06",14.209999,2373.0,8.809999,17.679998
"2024-04-12 09:00:28",14.24,2376.0,8.849999,16.63
"2024-04-12 09:01:13",14.24,2376.0,8.849999,16.63
"2024-04-12 10:00:28",14.5,2379.0,8.95,18.58
"2024-04-12 10:01:06",14.5,2379.0,8.95,18.58
"2024-04-12 11:00:28",14.9,2374.0,9.009999,19.509998
"2024-04-12 11:01:10",14.9,2374.0,9.009999,19.509998
"2024-04-12 12:00:28",15.48,2375.0,9.12,20.13
"2024-04-12 12:01:10",15.48,2375.0,9.12,20.13
"2024-04-12 13:00:28",16.039999,2370.0,9.219999,22.489998
"2024-04-12 13:01:04",16.039999,2370.0,9.219999,22.489998
"2024-04-12 14:00:28",16.38,2372.0,9.009999,17.88
"2024-04-12 14:01:09",16.38,2372.0,9.009999,17.88
"2024-04-12 15:00:28",17.039999,2363.0,9.0199995,21.5
"2024-04-12 15:01:09",17.039999,2363.0,9.0199995,21.5
"2024-04-12 16:00:28",15.919998,2371.0,8.87,19.07
"2024-04-12 16:01:05",15.919998,2371.0,8.87,19.07
"2024-04-12 17:00:28",16.25,2367.0,9.139999,21.099998
"2024-04-12 17:01:11",16.25,2367.0,9.139999,21.099998
"2024-04-12 18:00:28",16.41,2363.0,9.12,26.759998
"2024-04-12 18:01:12",16.41,2363.0,9.12,26.759998
"2024-04-12 19:00:28",16.269999,2362.0,9.209999,20.669998
"2024-04-12 19:01:05",16.269999,2362.0,9.209999,20.669998
"2024-04-12 20:00:28",16.259998,2374.0,8.99,17.439999
"2024-04-12 20:01:08",16.259998,2374.0,8.99,17.439999
"2024-04-12 21:00:28",16.21,2367.0,9.009999,18.75
"2024-04-12 21:01:16",16.21,2367.0,9.009999,18.75
"2024-04-12 22:00:28",16.529999,2360.0,9.049999,22.509998
"2024-04-12 22:01:08",16.529999,2360.0,9.049999,22.509998
"2024-04-12 23:00:28",16.439999,2363.0,9.009999,24.199997
"2024-04-12 23:01:10",16.439999,2363.0,9.009999,24.199997
"2024-04-13 00:00:28",16.269999,2364.0,9.009999,18.66
"2024-04-13 00:01:12",16.269999,2364.0,9.009999,18.66
"2024-04-13 01:00:28",16.15,2362.0,9.03,22.8
"2024-04-13 01:01:10",16.15,2362.0,9.03,22.8
"2024-04-13 02:00:28",16.089998,2361.0,8.99,22.129997
"2024-04-13 02:01:07",16.089998,2361.0,8.99,22.129997
"2024-04-13 03:00:28",15.859999,2358.0,9.009999,24.029999
"2024-04-13 03:01:05",15.859999,2358.0,9.009999,24.029999
"2024-04-13 04:00:28",15.74,2356.0,8.969999,22.339996
"2024-04-13 04:01:05",15.74,2356.0,8.969999,22.339996
"2024-04-13 05:00:28",15.609999,2355.0,8.95,23.089996
"2024-04-13 05:01:10",15.609999,2355.0,8.95,23.089996
"2024-04-13 06:00:28",15.5,2355.0,8.95,21.769997
"2024-04-13 06:01:12",15.5,2355.0,8.95,21.769997
"2024-04-13 07:00:28",15.459999,2348.0,8.99,21.239998
"2024-04-13 07:01:12",15.459999,2348.0,8.99,21.239998
"2024-04-13 08:00:28",15.24,2371.0,8.86,20.64
"2024-04-13 08:01:09",15.24,2371.0,8.86,20.64
"2024-04-13 09:00:28",15.369999,2361.0,8.969999,22.5
"2024-04-13 09:01:08",15.369999,2361.0,8.969999,22.5
"2024-04-13 10:00:28",15.849998,2356.0,9.07,22.579998
"2024-04-13 10:01:09",15.849998,2356.0,9.07,22.579998
"2024-04-13 11:00:28",16.029999,2361.0,9.049999,22.989998
"2024-04-13 11:01:05",16.029999,2361.0,9.049999,22.989998
"2024-04-13 12:00:28",16.41,2361.0,9.089999,21.269997
"2024-04-13 12:01:08",16.41,2361.0,9.089999,21.269997
"2024-04-13 13:00:28",16.66,2364.0,9.129999,22.96
"2024-04-13 13:01:08",16.66,2364.0,9.129999,22.96
"2024-04-13 14:00:28",16.949999,2363.0,9.219999,26.379997
"2024-04-13 14:01:06",16.949999,2363.0,9.219999,26.379997
"2024-04-13 15:00:28",17.24,2363.0,9.219999,27.679996
"2024-04-13 15:01:13",17.24,2363.0,9.219999,27.679996
"2024-04-13 16:00:28",17.539999,2358.0,9.259999,26.0
"2024-04-13 16:01:06",17.539999,2358.0,9.259999,26.0
"2024-04-13 17:00:28",17.529999,2366.0,9.16,26.189999
"2024-04-13 17:01:08",17.529999,2366.0,9.16,26.189999
"2024-04-13 18:00:28",17.289999,2371.0,8.99,22.75
"2024-04-13 18:01:10",17.289999,2371.0,8.99,22.75
"2024-04-13 19:00:28",17.16,2379.0,8.959999,18.359999
"2024-04-13 19:00:58",17.16,2379.0,8.959999,18.359999
"2024-04-13 20:00:28",16.929998,2383.0,8.7699995,14.859999
"2024-04-13 20:01:06",16.929998,2383.0,8.7699995,14.859999
"2024-04-13 21:00:28",16.83,2376.0,9.15,17.279999
"2024-04-13 21:01:12",16.83,2376.0,9.15,17.279999
"2024-04-13 22:00:28",16.82,2380.0,8.73,16.269999
"2024-04-13 22:00:56",16.82,2380.0,8.73,16.269999
"2024-04-13 23:00:28",16.74,2385.0,8.669999,13.879999
"2024-04-13 23:01:11",16.74,2385.0,8.669999,13.879999
"2024-04-14 00:00:28",16.449999,2373.0,8.98,12.529999
"2024-04-14 00:01:02",16.449999,2373.0,8.98,12.529999
"2024-04-14 01:00:28",16.3,2369.0,9.0199995,23.769997
"2024-04-14 01:01:07",16.3,2369.0,9.0199995,23.769997
"2024-04-14 02:00:28",16.339998,2368.0,8.969999,20.21
"2024-04-14 02:00:57",16.339998,2368.0,8.969999,20.21
"2024-04-14 03:00:28",16.25,2368.0,9.009999,24.009998
"2024-04-14 03:01:05",16.25,2368.0,9.009999,24.009998
"2024-04-14 04:00:28",16.169998,2366.0,8.9,22.96
"2024-04-14 04:01:02",16.169998,2366.0,8.9,22.96
"2024-04-14 05:00:28",16.07,2365.0,8.91,23.25
"2024-04-14 05:01:06",16.07,2365.0,8.91,23.25
"2024-04-14 06:00:28",15.959999,2362.0,8.959999,23.16
"2024-04-14 06:01:09",15.959999,2362.0,8.959999,23.16
"2024-04-14 07:00:28",15.869999,2363.0,8.94,22.589996
"2024-04-14 07:01:04",15.869999,2363.0,8.94,22.589996
"2024-04-14 08:00:28",15.589998,2368.0,8.86,18.289999
"2024-04-14 08:01:07",15.589998,2368.0,8.86,18.289999
"2024-04-14 09:00:28",15.839998,2359.0,9.03,22.769997
"2024-04-14 09:01:04",15.839998,2359.0,9.03,22.769997
"2024-04-14 10:00:28",16.109999,2354.0,9.059999,22.089996
"2024-04-14 10:01:00",16.109999,2354.0,9.059999,22.089996
"2024-04-14 11:00:28",16.38,2354.0,9.089999,22.199997
"2024-04-14 11:01:07",16.38,2354.0,9.089999,22.199997
"2024-04-14 12:00:28",15.959999,2375.0,9.0,23.829998
"2024-04-14 12:01:05",15.959999,2375.0,9.0,23.829998
"2024-04-14 13:00:28",16.48,2359.0,9.11,24.57
"2024-04-14 13:01:05",16.48,2359.0,9.11,24.57
"2024-04-14 14:00:28",16.8,2359.0,9.12,24.879997
"2024-04-14 14:01:08",16.8,2359.0,9.12,24.879997
"2024-04-14 15:00:28",16.73,2359.0,9.099999,25.179996
"2024-04-14 15:01:09",16.73,2359.0,9.099999,25.179996
"2024-04-14 16:00:28",16.65,2364.0,9.099999,22.899998
"2024-04-14 16:01:04",16.65,2364.0,9.099999,22.899998
"2024-04-14 17:00:28",16.55,2375.0,9.08,24.71
"2024-04-14 17:01:14",16.55,2375.0,9.08,24.71
"2024-04-14 18:00:28",16.519999,2389.0,9.049999,22.559998
"2024-04-14 18:01:10",16.519999,2389.0,9.049999,22.559998
"2024-04-14 19:00:28",16.279999,2405.0,9.03,21.489998
"2024-04-14 19:01:03",16.279999,2405.0,9.03,21.489998
"2024-04-14 20:00:28",16.48,2393.0,9.07,23.529999
"2024-04-14 20:00:59",16.48,2393.0,9.07,23.529999
"2024-04-14 21:00:28",16.41,2398.0,9.04,22.73
"2024-04-14 21:01:03",16.41,2398.0,9.04,22.73
"2024-04-14 22:00:28",16.31,2400.0,8.98,18.25
"2024-04-14 22:01:02",16.31,2400.0,8.98,18.25
"2024-04-14 23:00:28",16.14,2409.0,8.98,20.57
"2024-04-14 23:01:02",16.14,2409.0,8.98,20.57
"2024-04-15 00:00:28",16.029999,2413.0,8.879999,14.49
"2024-04-15 00:01:04",16.029999,2413.0,8.879999,14.49
