data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-05-24 14:00:28",20.489998,1267.0,9.0,10.879999
"2024-05-24 15:00:28",20.57,1265.0,8.849999,9.459999
"2024-05-24 16:00:28",20.55,1268.0,8.809999,9.25
"2024-05-24 17:00:28",20.519997,1269.0,8.799999,9.36
"2024-05-24 18:00:28",20.509998,1267.0,9.07,11.519999
"2024-05-24 19:00:28",20.509998,1271.0,8.94,9.679999
"2024-05-24 20:00:28",20.489998,1273.0,8.82,8.86
"2024-05-24 21:00:28",20.38,1275.0,8.849999,8.49
"2024-05-24 22:00:28",20.259998,1273.0,8.7699995,7.24
"2024-05-24 23:00:28",20.199999,1283.0,8.679999,8.0
"2024-05-25 00:00:28",20.14,1289.0,8.57,7.7299995
"2024-05-25 01:00:28",20.099998,1297.0,8.75,7.7
"2024-05-25 02:00:28",20.119999,1303.0,8.62,7.0599995
"2024-05-25 03:00:28",20.109999,1308.0,8.709999,8.459999
"2024-05-25 04:00:28",20.08,1312.0,8.709999,7.83
"2024-05-25 05:00:28",20.029999,1316.0,8.639999,8.0
"2024-05-25 06:00:28",20.029999,1319.0,8.599999,8.049999
"2024-05-25 07:00:28",20.08,1316.0,8.709999,7.459999
"2024-05-25 08:00:28",20.179998,1318.0,8.839999,6.8599997
"2024-05-25 09:00:28",20.33,1315.0,8.919999,9.16
"2024-05-25 10:00:28",20.449999,1314.0,8.9,10.03
"2024-05-25 11:00:28",20.599998,1308.0,8.959999,10.939999
"2024-05-25 12:00:28",20.849998,1302.0,9.07,10.349998
"2024-05-25 13:00:28",21.009998,1302.0,9.07,11.719999
"2024-05-25 14:00:28",21.119999,1292.0,9.139999,12.41
"2024-05-25 15:00:28",21.21,1288.0,9.12,12.589998
"2024-05-25 16:00:28",21.199997,1285.0,9.04,11.709999
"2024-05-25 17:00:28",21.16,1285.0,9.11,11.139999
"2024-05-25 18:00:28",21.169998,1280.0,9.04,12.469999
"2024-05-25 19:00:28",21.21,1279.0,9.049999,11.509998
"2024-05-25 20:00:28",21.149998,1274.0,9.08,10.269999
"2024-05-25 21:00:28",20.919998,1274.0,9.15,11.859999
"2024-05-25 22:00:28",20.829998,1280.0,8.929999,10.439999
"2024-05-25 23:00:28",20.71,1280.0,9.0199995,10.879999
"2024-05-26 00:00:28",20.579998,1285.0,8.75,8.839999
"2024-05-26 01:00:28",20.439999,1288.0,8.74,8.36
"2024-05-26 02:00:28",20.31,1290.0,8.74,8.41
"2024-05-26 03:00:28",20.189999,1291.0,8.62,7.7599993
"2024-05-26 04:00:28",20.089998,1292.0,8.629999,6.669999
"2024-05-26 05:00:28",20.05,1293.0,8.58,6.1399994
"2024-05-26 06:00:28",20.009998,1289.0,8.61,5.669999
"2024-05-26 07:00:28",20.099998,1289.0,8.7,7.0699997
"2024-05-26 08:00:28",20.31,1279.0,8.969999,7.5099993
"2024-05-26 09:00:28",20.41,1279.0,8.929999,9.03
