data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-11 12:00:28",15.419998,830.7999,8.0,7.5099993
"2024-04-11 12:01:01",15.419998,830.7999,8.0,7.5099993
"2024-04-11 13:00:28",15.4,829.3999,7.99,7.08
"2024-04-11 13:01:06",15.4,829.3999,7.99,7.08
"2024-04-11 14:00:28",15.449999,831.2999,8.0,7.58
"2024-04-11 14:00:57",15.449999,831.2999,8.0,7.58
"2024-04-11 15:00:28",15.559999,832.8999,8.049999,7.4399996
"2024-04-11 15:01:01",15.559999,832.8999,8.049999,7.4399996
"2024-04-11 16:00:28",15.609999,834.19995,8.04,6.9799995
"2024-04-11 16:01:04",15.609999,834.19995,8.04,6.9799995
"2024-04-11 17:00:28",15.609999,835.69995,8.07,7.629999
"2024-04-11 17:00:57",15.609999,835.69995,8.07,7.629999
"2024-04-11 18:00:28",15.619999,836.1,8.0199995,7.8099995
"2024-04-11 18:01:01",15.619999,836.1,8.0199995,7.8099995
"2024-04-11 19:00:28",15.609999,837.6,8.0,7.589999
"2024-04-11 19:00:58",15.609999,837.6,8.0,7.589999
"2024-04-11 20:00:28",15.609999,839.19995,8.049999,7.8199997
"2024-04-11 20:00:56",15.609999,839.19995,8.049999,7.8199997
"2024-04-11 21:00:28",15.619999,841.8999,8.059999,8.169999
"2024-04-11 21:00:58",15.619999,841.8999,8.059999,8.169999
"2024-04-11 22:00:28",15.57,842.1,8.059999,7.8599997
"2024-04-11 22:00:58",15.57,842.1,8.059999,7.8599997
"2024-04-11 23:00:28",15.58,842.6,8.07,8.37
"2024-04-11 23:00:58",15.58,842.6,8.07,8.37
"2024-04-12 00:00:28",15.589998,842.2999,8.049999,8.29
"2024-04-12 00:01:07",15.589998,842.2999,8.049999,8.29
"2024-04-12 01:00:28",15.58,841.6,8.04,8.25
"2024-04-12 01:01:01",15.58,841.6,8.04,8.25
"2024-04-12 02:00:28",15.549999,841.6,8.03,8.169999
"2024-04-12 02:01:02",15.549999,841.6,8.03,8.169999
"2024-04-12 03:00:28",15.539999,845.6,8.049999,7.75
"2024-04-12 03:00:56",15.539999,845.6,8.049999,7.75
"2024-04-12 04:00:28",15.559999,844.19995,8.049999,7.799999
"2024-04-12 04:00:58",15.559999,844.19995,8.049999,7.799999
"2024-04-12 05:00:28",15.539999,845.8999,8.03,7.66
"2024-04-12 05:01:06",15.539999,845.8999,8.03,7.66
"2024-04-12 06:00:28",15.5,849.0,8.03,7.5
"2024-04-12 06:00:56",15.5,849.0,8.03,7.5
"2024-04-12 07:00:28",15.509998,847.5,8.009999,7.919999
"2024-04-12 07:00:55",15.509998,847.5,8.009999,7.919999
"2024-04-12 08:00:28",15.49,848.3999,8.0,7.169999
"2024-04-12 08:00:57",15.49,848.3999,8.0,7.169999
"2024-04-12 09:00:28",15.459999,850.1,8.049999,7.5099993
"2024-04-12 09:00:57",15.459999,850.1,8.049999,7.5099993
"2024-04-12 10:00:28",15.429998,850.3999,8.04,7.669999
"2024-04-12 10:00:55",15.429998,850.3999,8.04,7.669999
"2024-04-12 11:00:28",15.41,850.69995,8.0199995,7.379999
