data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-02 13:00:28",12.849998,1505.0,8.49,10.599998
"2024-04-02 14:00:28",12.869999,1510.0,8.5199995,10.869999
"2024-04-02 15:00:28",12.929998,1513.0,8.53,11.089998
"2024-04-02 16:00:28",13.039999,1516.0,8.57,11.349998
"2024-04-02 17:00:28",13.089998,1520.0,8.599999,11.439999
"2024-04-02 18:00:28",13.109999,1529.0,8.58,11.33
"2024-04-02 19:00:28",13.099998,1530.0,8.589999,11.369999
"2024-04-02 20:00:28",13.009998,1526.0,8.599999,11.459999
"2024-04-02 21:00:28",12.949999,1526.0,8.599999,11.33
"2024-04-02 22:00:28",13.009998,1529.0,8.54,11.089998
"2024-04-02 23:00:28",12.99,1527.0,8.509999,10.99
"2024-04-03 00:00:28",12.99,1522.0,8.5,10.929998
"2024-04-03 01:00:28",12.919998,1512.0,8.459999,10.769999
"2024-04-03 02:00:28",12.839998,1510.0,8.44,10.609999
"2024-04-03 03:00:28",12.789999,1515.0,8.429999,10.449999
"2024-04-03 04:00:28",12.759998,1523.0,8.4,10.48
"2024-04-03 05:00:28",12.719999,1532.0,8.37,10.49
"2024-04-03 06:00:28",12.679998,1536.0,8.36,10.439999
"2024-04-03 07:00:28",12.629999,1536.0,8.36,10.419998
"2024-04-03 08:00:28",12.599998,1539.0,8.36,10.429998
"2024-04-03 09:00:28",12.619999,1548.0,8.36,10.48
"2024-04-03 10:00:28",12.669998,1550.0,8.36,10.57
"2024-04-03 11:00:28",12.719999,1542.0,8.37,10.66
"2024-04-03 12:00:28",12.839998,1541.0,8.379999,10.799999
"2024-04-03 13:00:28",12.91,1554.0,8.389999,10.889999
"2024-04-03 14:00:28",13.0,1577.0,8.389999,10.949999
"2024-04-03 15:00:28",13.099998,1600.0,8.41,11.019999
"2024-04-03 16:00:28",13.189999,1619.0,8.41,11.029999
"2024-04-03 17:00:28",13.25,1636.0,8.41,11.029999
"2024-04-03 18:00:28",13.259998,1654.0,8.4,10.91
"2024-04-03 19:00:28",13.24,1672.0,8.379999,10.83
"2024-04-03 20:00:28",13.24,1682.0,8.379999,10.699999
"2024-04-03 21:00:28",13.259998,1680.0,8.37,10.57
"2024-04-03 22:00:28",13.269999,1665.0,8.349999,10.459999
"2024-04-03 23:00:28",13.259998,1649.0,8.32,10.4
"2024-04-04 00:00:28",13.24,1641.0,8.309999,10.299999
"2024-04-04 01:00:28",13.199999,1642.0,8.309999,10.24
"2024-04-04 02:00:28",13.15,1646.0,8.299999,10.169999
"2024-04-04 03:00:28",13.099998,1642.0,8.299999,10.19
"2024-04-04 04:00:28",13.049999,1626.0,8.29,10.15
"2024-04-04 05:00:28",13.0,1603.0,8.2699995,10.139999
"2024-04-04 06:00:28",12.949999,1576.0,8.25,10.12
"2024-04-04 07:00:28",12.9,1548.0,8.25,10.099999
"2024-04-04 08:00:28",12.869999,1512.0,8.23,10.139999
"2024-04-04 09:00:28",12.869999,1490.0,8.24,10.24
"2024-04-04 10:00:28",12.889999,1458.0,8.219999,10.289999
"2024-04-04 11:00:28",12.959999,1422.0,8.23,10.429998
